Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_0-1-0-1-1-0-0-1-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0	0.000791761	0	0.000618686	0.0009518	0	0	0.00070533	0.000944957	0.00401253	0	0.197322	0	0.154188	0.237207	0	0	0.175782	0.235501	0	25	0	25	25	0	0	25	25	125	0	0.2	0	0.2	0.2	0	0	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0.00201656	0	0.00236679	0.00687807	0	0	0.00528249	0.00694722	0.0234911	0	0.0858434	0	0.100753	0.292794	0	0	0.224872	0.295738	0	18	0	24	24	0	0	23	23	112	0	0.160714	0	0.214286	0.214286	0	0	0.205357	0.205357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0.00619972	0	0.00927387	0.0356334	0	0	0.0441743	0.0446209	0.139902	0	0.0443147	0	0.0662883	0.254702	0	0	0.315751	0.318944	0	17	0	22	19	0	0	22	19	99	0	0.171717	0	0.222222	0.191919	0	0	0.222222	0.191919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	1	0	0	1	2	4	0	0.01873	0	0.0310708	0.0232346	0	0	0.0268645	0.0332247	0.133125	0	0.140695	0	0.233396	0.174533	0	0	0.2018	0.249576	0	16	0	19	6	0	0	7	6	54	0	0.296296	0	0.351852	0.111111	0	0	0.12963	0.111111	0	0	0	0	0.235097	0	0	0.320939	0.314441	0.870477	0	0	0	0	0.270078	0	0	0.368694	0.361228	0	0	0	0	13	0	0	13	12	38	0	0	0	0	0.342105	0	0	0.342105	0.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	4	0	0	15	6	25	0	0.0395126	0	0.064236	0	0	0	0	0	0.103749	0	0.380849	0	0.619151	0	0	0	0	0	0	13	0	13	0	0	0	0	0	26	0	0.5	0	0.5	0	0	0	0	0	0	0.0159538	0	0.0507039	0.821617	0	0	0.799276	0.93807	2.62562	0	0.00607619	0	0.0193112	0.312923	0	0	0.304414	0.357275	0	2	0	4	19	0	0	17	17	59	0	0.0338983	0	0.0677966	0.322034	0	0	0.288136	0.288136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	1	0	0	12	0	0	12	13	38	0	0.018031	0	0.00691114	0	0	0	0.000123799	0.000221627	0.0252875	0	0.713038	0	0.273302	0	0	0	0.00489566	0.00876427	0	5	0	1	0	0	0	1	2	9	0	0.555556	0	0.111111	0	0	0	0.111111	0.222222	0	0.146728	0	0.337319	1.11861	0	0	1.16401	1.29908	4.06575	0	0.0360888	0	0.0829661	0.27513	0	0	0.286297	0.319518	0	9	0	13	16	0	0	16	16	70	0	0.128571	0	0.185714	0.228571	0	0	0.228571	0.228571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	1	0	1	18	0	0	13	22	55	0	0.0115825	0	0	0.000707895	0	0	0.00171708	0.00199715	0.0160046	0	0.723696	0	0	0.0442307	0	0	0.107287	0.124786	0	2	0	0	2	0	0	7	5	16	0	0.125	0	0	0.125	0	0	0.4375	0.3125	0	0.393122	0	0.7406	1.45456	0	0	1.57257	1.59593	5.75678	0	0.0682885	0	0.128648	0.252669	0	0	0.273169	0.277226	0	11	0	14	15	0	0	16	15	71	0	0.15493	0	0.197183	0.211268	0	0	0.225352	0.211268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	3	0	2	27	0	0	22	29	83	0	0	0	0	0.00539203	0	0	0.00520994	0.0144433	0.0250453	0	0	0	0	0.215291	0	0	0.208021	0.576688	0	0	0	0	3	0	0	7	9	19	0	0	0	0	0.157895	0	0	0.368421	0.473684	0	0.712658	0	1.03538	1.56863	0	0	1.86446	1.96908	7.15021	0	0.0996696	0	0.144804	0.219383	0	0	0.260756	0.275387	0	13	0	13	13	0	0	15	15	69	0	0.188406	0	0.188406	0.188406	0	0	0.217391	0.217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	7	0	4	30	0	0	26	34	101	0	0	0	0	0.0112861	0	0	0.0160358	0.0224135	0.0497354	0	0	0	0	0.226923	0	0	0.322422	0.450655	0	0	0	0	9	0	0	11	13	33	0	0	0	0	0.272727	0	0	0.333333	0.393939	0	0.975029	0	1.08131	1.91799	0	0	2.25908	2.37211	8.60551	0	0.113303	0	0.125653	0.222879	0	0	0.262515	0.27565	0	12	0	10	14	0	0	18	16	70	0	0.171429	0	0.142857	0.2	0	0	0.257143	0.228571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	11	0	5	36	0	0	32	37	121	0	0	0	0.000106796	0.0239712	0	0	0.0146358	0.0348389	0.0735527	0	0	0	0.00145196	0.325905	0	0	0.198984	0.473659	0	0	0	1	14	0	0	15	18	48	0	0	0	0.0208333	0.291667	0	0	0.3125	0.375	0	1.27997	0	1.32983	2.31749	0	0	2.85364	2.86653	10.6475	0	0.120214	0	0.124897	0.217656	0	0	0.268011	0.269222	0	12	0	10	16	0	0	20	18	76	0	0.157895	0	0.131579	0.210526	0	0	0.263158	0.236842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
