Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_1-0-0-0-1-1-0-1-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0.000733464	0	0	0	0.000825769	0.000849116	0	0.000564147	0.000794724	0.00376722	0.194696	0	0	0	0.219198	0.225396	0	0.149752	0.210958	25	0	0	0	25	25	0	25	25	125	0.2	0	0	0	0.2	0.2	0	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0.00290042	0	0	0	0.00516115	0.00509364	0	0.00475919	0.00650354	0.0244179	0.118782	0	0	0	0.211367	0.208602	0	0.194905	0.266343	23	0	0	0	23	23	0	24	24	117	0.196581	0	0	0	0.196581	0.196581	0	0.205128	0.205128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0.0124897	0	0	0	0.0346864	0.0327437	0	0.0377339	0.0546922	0.172346	0.0724687	0	0	0	0.201261	0.189988	0	0.218943	0.31734	23	0	0	0	21	22	0	20	24	110	0.209091	0	0	0	0.190909	0.2	0	0.181818	0.218182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	3	1	0	1	3	8	0.0476125	0	0	0	0.0250019	0.0346906	0	0.0322954	0.0143911	0.153991	0.309189	0	0	0	0.162359	0.225276	0	0.209722	0.093454	21	0	0	0	7	9	0	6	4	47	0.446809	0	0	0	0.148936	0.191489	0	0.12766	0.0851064	0	0	0	0	0.226326	0.180617	0	0.253924	0.445165	1.10603	0	0	0	0	0.204629	0.163302	0	0.229581	0.402488	0	0	0	0	14	13	0	12	20	59	0	0	0	0	0.237288	0.220339	0	0.20339	0.338983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	1	0	0	0	8	4	0	5	12	30	0.053797	0	0	0	0	0	0	0	0	0.053797	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0.149145	0	0	0	0.877458	0.851226	0	0.877542	1.09476	3.85013	0.0387375	0	0	0	0.227903	0.22109	0	0.227925	0.284344	10	0	0	0	21	22	0	17	22	92	0.108696	0	0	0	0.228261	0.23913	0	0.184783	0.23913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	6	0	0	0	11	7	0	11	13	48	0.00562384	0	0	0	0	0	0	0	0.00021036	0.0058342	0.963944	0	0	0	0	0	0	0	0.0360563	1	0	0	0	0	0	0	0	2	3	0.333333	0	0	0	0	0	0	0	0.666667	0.6785	0	0	0	1.46145	1.42114	0	1.32737	1.53879	6.42725	0.105566	0	0	0	0.227383	0.221112	0	0.206523	0.239416	20	0	0	0	21	21	0	17	20	99	0.20202	0	0	0	0.212121	0.212121	0	0.171717	0.20202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	6	0	0	0	18	13	0	17	22	76	0	0	0	0	0.00112324	0.000437916	0	0.000461828	0.00198893	0.00401192	0	0	0	0	0.279976	0.109154	0	0.115114	0.495757	0	0	0	0	3	1	0	4	7	15	0	0	0	0	0.2	0.0666667	0	0.266667	0.466667	1.15844	0	0	0	1.79976	1.9603	0	1.63646	2.04709	8.60205	0.13467	0	0	0	0.209224	0.227887	0	0.190241	0.237977	19	0	0	0	19	21	0	16	20	95	0.2	0	0	0	0.2	0.221053	0	0.168421	0.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	11	0	0	0	24	21	0	17	36	109	0.000107131	0	0	0	0.00878323	0.00303351	0	0.00436259	0.0133513	0.0296378	0.00361469	0	0	0	0.296352	0.102353	0	0.147197	0.450483	1	0	0	0	7	2	0	11	8	29	0.0344828	0	0	0	0.241379	0.0689655	0	0.37931	0.275862	1.38457	0	0	0	2.02065	2.36269	0	1.91022	2.54581	10.2239	0.135424	0	0	0	0.197639	0.231094	0	0.186838	0.249005	16	0	0	0	17	20	0	15	20	88	0.181818	0	0	0	0.193182	0.227273	0	0.170455	0.227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	16	0	0	0	34	30	0	21	43	144	0.000533547	0	0	0	0.0165245	0.00221283	0	0.034975	0.0254855	0.0797314	0.0066918	0	0	0	0.207252	0.0277536	0	0.438661	0.319642	2	0	0	0	7	2	0	17	13	41	0.0487805	0	0	0	0.170732	0.0487805	0	0.414634	0.317073	1.68591	0	0	0	2.17156	2.72407	0	2.12139	2.945	11.6479	0.144739	0	0	0	0.186433	0.233867	0	0.182126	0.252834	15	0	0	0	17	20	0	14	21	87	0.172414	0	0	0	0.195402	0.229885	0	0.16092	0.241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	19	0	0	0	43	39	0	27	46	174	0.00239734	0	0	0	0.0108102	0.00314309	0	0.0475612	0.0243678	0.0882796	0.0271562	0	0	0	0.122454	0.0356038	0	0.538756	0.27603	5	0	0	0	8	4	0	20	18	55	0.0909091	0	0	0	0.145455	0.0727273	0	0.363636	0.327273	1.92317	0	0	0	2.2031	3.23209	0	2.51298	3.5476	13.419	0.143317	0	0	0	0.164179	0.24086	0	0.187271	0.264372	14	0	0	0	18	21	0	17	25	95	0.147368	0	0	0	0.189474	0.221053	0	0.178947	0.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
