Location: Fake forest
From parameter file: C:\Users\ben\Desktop\inputs\input_GMF_1-0-1-0-1-1-1-1-1.xml
Basal area is normalized to m^2/ha; density to #/ha.
Subplots:
0 = Whole plot
Step	Subplot	Sdl Abs Den: ACRU	Sdl Abs Den: ACSA	Sdl Abs Den: BEAL	Sdl Abs Den: FAGR	Sdl Abs Den: TSCA	Sdl Abs Den: FRAM	Sdl Abs Den: PIST	Sdl Abs Den: PRSE	Sdl Abs Den: QURU	Sdl Den Total:	Sapl Abs BA: ACRU	Sapl Abs BA: ACSA	Sapl Abs BA: BEAL	Sapl Abs BA: FAGR	Sapl Abs BA: TSCA	Sapl Abs BA: FRAM	Sapl Abs BA: PIST	Sapl Abs BA: PRSE	Sapl Abs BA: QURU	Sapl BA Total:	Sapl Rel BA: ACRU	Sapl Rel BA: ACSA	Sapl Rel BA: BEAL	Sapl Rel BA: FAGR	Sapl Rel BA: TSCA	Sapl Rel BA: FRAM	Sapl Rel BA: PIST	Sapl Rel BA: PRSE	Sapl Rel BA: QURU	Sapl Abs Den: ACRU	Sapl Abs Den: ACSA	Sapl Abs Den: BEAL	Sapl Abs Den: FAGR	Sapl Abs Den: TSCA	Sapl Abs Den: FRAM	Sapl Abs Den: PIST	Sapl Abs Den: PRSE	Sapl Abs Den: QURU	Sapl Den Total:	Sapl Rel Den: ACRU	Sapl Rel Den: ACSA	Sapl Rel Den: BEAL	Sapl Rel Den: FAGR	Sapl Rel Den: TSCA	Sapl Rel Den: FRAM	Sapl Rel Den: PIST	Sapl Rel Den: PRSE	Sapl Rel Den: QURU	Adult Abs BA: ACRU	Adult Abs BA: ACSA	Adult Abs BA: BEAL	Adult Abs BA: FAGR	Adult Abs BA: TSCA	Adult Abs BA: FRAM	Adult Abs BA: PIST	Adult Abs BA: PRSE	Adult Abs BA: QURU	Adult BA Total:	Adult Rel BA: ACRU	Adult Rel BA: ACSA	Adult Rel BA: BEAL	Adult Rel BA: FAGR	Adult Rel BA: TSCA	Adult Rel BA: FRAM	Adult Rel BA: PIST	Adult Rel BA: PRSE	Adult Rel BA: QURU	Adult Abs Den: ACRU	Adult Abs Den: ACSA	Adult Abs Den: BEAL	Adult Abs Den: FAGR	Adult Abs Den: TSCA	Adult Abs Den: FRAM	Adult Abs Den: PIST	Adult Abs Den: PRSE	Adult Abs Den: QURU	Adult Den Total:	Adult Rel Den: ACRU	Adult Rel Den: ACSA	Adult Rel Den: BEAL	Adult Rel Den: FAGR	Adult Rel Den: TSCA	Adult Rel Den: FRAM	Adult Rel Den: PIST	Adult Rel Den: PRSE	Adult Rel Den: QURU	Snag Abs BA: ACRU	Snag Abs BA: ACSA	Snag Abs BA: BEAL	Snag Abs BA: FAGR	Snag Abs BA: TSCA	Snag Abs BA: FRAM	Snag Abs BA: PIST	Snag Abs BA: PRSE	Snag Abs BA: QURU	Snag BA Total:	Snag Rel BA: ACRU	Snag Rel BA: ACSA	Snag Rel BA: BEAL	Snag Rel BA: FAGR	Snag Rel BA: TSCA	Snag Rel BA: FRAM	Snag Rel BA: PIST	Snag Rel BA: PRSE	Snag Rel BA: QURU	Snag Abs Den: ACRU	Snag Abs Den: ACSA	Snag Abs Den: BEAL	Snag Abs Den: FAGR	Snag Abs Den: TSCA	Snag Abs Den: FRAM	Snag Abs Den: PIST	Snag Abs Den: PRSE	Snag Abs Den: QURU	Snag Den Total:	Snag Rel Den: ACRU	Snag Rel Den: ACSA	Snag Rel Den: BEAL	Snag Rel Den: FAGR	Snag Rel Den: TSCA	Snag Rel Den: FRAM	Snag Rel Den: PIST	Snag Rel Den: PRSE	Snag Rel Den: QURU
0	0	0	0	0	0	0	0	0	0	0	0	0.000777435	0	0.000831567	0	0.000727614	0.000902627	0.000791504	0.000742854	0.000802442	0.00557604	0.139424	0	0.149132	0	0.130489	0.161876	0.141947	0.133223	0.143909	25	0	25	0	25	25	25	25	25	175	0.142857	0	0.142857	0	0.142857	0.142857	0.142857	0.142857	0.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0.00330788	0	0.00351193	0	0.00406168	0.00505806	0.00487576	0.00584968	0.00633504	0.033	0.100239	0	0.106422	0	0.123081	0.153274	0.14775	0.177263	0.191971	24	0	20	0	22	23	22	23	22	156	0.153846	0	0.128205	0	0.141026	0.147436	0.141026	0.147436	0.141026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0.0138104	0	0.0148322	0	0.0286986	0.0297538	0.0314794	0.0501418	0.0532707	0.221987	0.0622128	0	0.0668157	0	0.129281	0.134034	0.141807	0.225877	0.239972	23	0	19	0	21	21	22	23	22	151	0.152318	0	0.125828	0	0.139073	0.139073	0.145695	0.152318	0.145695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	1	0	0	5	2	8	0.0549934	0	0.0694419	0	0.0439601	0.0476456	0.0259676	0.0544048	0.0313234	0.327737	0.167797	0	0.211883	0	0.134132	0.145378	0.0792332	0.166002	0.0955747	21	0	19	0	10	10	9	10	8	87	0.241379	0	0.218391	0	0.114943	0.114943	0.103448	0.114943	0.091954	0	0	0	0	0.135984	0.138305	0.176024	0.37481	0.396425	1.22155	0	0	0	0	0.111321	0.113221	0.144099	0.306832	0.324527	0	0	0	0	9	10	13	13	13	58	0	0	0	0	0.155172	0.172414	0.224138	0.224138	0.224138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	2	0	2	5	4	9	8	30	0.0480363	0	0.0203995	0	0	0	0.00655343	0	0	0.0749892	0.640576	0	0.272033	0	0	0	0.0873916	0	0	11	0	4	0	0	0	1	0	0	16	0.6875	0	0.25	0	0	0	0.0625	0	0	0.183817	0	0.281777	0	0.678578	0.78723	0.738387	0.996459	1.02608	4.69233	0.039174	0	0.0600505	0	0.144614	0.16777	0.15736	0.212359	0.218672	10	0	12	0	17	20	20	19	21	119	0.0840336	0	0.10084	0	0.142857	0.168067	0.168067	0.159664	0.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	4	0	7	0	11	8	12	12	16	70	0.00438242	0	0	0	0	0	0	0.000486327	0	0.00486874	0.900112	0	0	0	0	0	0	0.0998876	0	1	0	0	0	0	0	0	4	0	5	0.2	0	0	0	0	0	0	0.8	0	0.623145	0	0.710527	0	1.16276	1.34395	1.28482	1.34704	1.33774	7.80999	0.0797883	0	0.0909768	0	0.148881	0.172082	0.16451	0.172476	0.171285	19	0	15	0	17	20	20	17	18	126	0.150794	0	0.119048	0	0.134921	0.15873	0.15873	0.134921	0.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	6	0	13	0	19	14	22	17	23	114	0	0	0	0	0	0	0	0.00345394	0.000750353	0.00420429	0	0	0	0	0	0	0	0.821527	0.178473	0	0	0	0	0	0	0	7	3	10	0	0	0	0	0	0	0	0.7	0.3	0.950231	0	1.11519	0	1.52455	1.85759	1.80158	1.66178	1.59038	10.5013	0.090487	0	0.106195	0	0.145177	0.176892	0.171558	0.158245	0.151446	17	0	15	0	16	20	20	16	16	120	0.141667	0	0.125	0	0.133333	0.166667	0.166667	0.133333	0.133333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	10	0	16	0	28	19	33	21	27	154	0	0	0.000173028	0	0.000540667	0.000963199	0.000579775	0.0113777	0.00613011	0.0197644	0	0	0.00875449	0	0.0273555	0.0487339	0.0293342	0.575663	0.310159	0	0	1	0	2	3	2	11	9	28	0	0	0.0357143	0	0.0714286	0.107143	0.0714286	0.392857	0.321429	1.38789	0	1.41293	0	1.92516	2.13033	2.17988	1.94361	1.86666	12.8464	0.108037	0	0.109986	0	0.149859	0.16583	0.169687	0.151296	0.145305	17	0	14	0	16	18	19	17	15	116	0.146552	0	0.12069	0	0.137931	0.155172	0.163793	0.146552	0.12931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	17	0	18	0	35	27	33	23	31	184	0.000102797	0	0.00106782	0	0.00453327	0.00495931	0.00311798	0.019849	0.0219209	0.055551	0.0018505	0	0.0192223	0	0.0816055	0.0892749	0.0561282	0.357311	0.394608	1	0	3	0	9	3	8	15	14	53	0.0188679	0	0.0566038	0	0.169811	0.0566038	0.150943	0.283019	0.264151	1.81262	0	1.63115	0	2.04586	2.57569	2.52667	2.45806	2.24863	15.2987	0.118482	0	0.10662	0	0.133728	0.16836	0.165156	0.160671	0.146982	17	0	13	0	14	18	18	19	16	115	0.147826	0	0.113043	0	0.121739	0.156522	0.156522	0.165217	0.13913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	16	0	23	0	42	35	42	26	38	222	0.000367901	0	0.00512452	0	0.0185256	0.0124963	0.0165226	0.0511327	0.0289633	0.133133	0.00276341	0	0.0384917	0	0.139151	0.0938635	0.124106	0.384072	0.217552	1	0	6	0	15	5	15	20	19	81	0.0123457	0	0.0740741	0	0.185185	0.0617284	0.185185	0.246914	0.234568	2.23553	0	1.95195	0	2.38908	2.86459	2.79546	2.85384	2.73752	17.828	0.125395	0	0.109488	0	0.134007	0.160679	0.156802	0.160076	0.153552	17	0	13	0	14	18	17	20	20	119	0.142857	0	0.109244	0	0.117647	0.151261	0.142857	0.168067	0.168067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
