"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star"
3293.49136902272,0,0,0,0,0,0,0.000259517713232004,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7206.00266662613,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2658.52458326365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6323.31240694284,0,0,0,0,0,0,0,0,408.716636071086,0,0,0,0
0,0,0,0,6323.58619125835,0,0,0,0,0,0,0,0,408.590743827811,0,0,0,0
0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.60240347325712e-10,0,0,4321.10144473086,0,0,0,0,0,29172.0081953676,0,0,0,0,0,0,0
3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.53693170248649e-10,0,0,4321.08707236196,0,0,0.000895601572233007,0,0,29172.1397262015,0,0,0,0,0,0,0
0,0,0,0,4309.39919872638,0,0,0,0,0,29287.4202168182,0,0,0,0,0,0,0
0,0,0,0,4309.41068491228,0,0,0,0,0,29287.3069470792,0,0,0,0,0,0,0
0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3293.49136950469,0,0,0,0,0,0,0.000259228100390927,0,0,0,0,0,0,0,0,0,0
0,6.23237728918721e-10,0,0,4321.02726164531,0,0,0,0,0,29172.7398904929,0,0,0,0,0,0,0
0,5.72129718561498e-10,0,0,4320.91667499964,0,0,0.000891528770369712,0,0,29173.8204629386,0,0,0,0,0,0,0
0,4146.17268754883,0,0,0,0,0,0.0357330740521266,0,0,0,0,0,0,0,0,0,0
0,4146.172793193,0,0,0,0,0,0.0351792059605983,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4309.43149190611,0,0,0.000154444416774435,0,0,29287.0999972892,0,0,0,0,0,0,0
3293.49137884002,0,0,0,0,0,0,0.000253618570739936,0,0,0,0,0,0,0,0,0,0
0,4146.17040183384,0,0,0,0,0,0.047716551422826,0,0,0,0,0,0,0,0,0,0
