"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","m.star","n.star","o.star","p.star","q.star","r.star"
0,0,0,0,0,0,0,0,113.6,0,2.0325,17.258125,0,0,0,0,0,0
0,0,0,113.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.505625,0,0,53.8725,0,0,0,17.258125,0,2.0325,4.505625,0.63375,0.63375,4.505625,0,0,9.401875,53.8725
17.258125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,53.8725,0,0,0,0,0,0,0,0,0
0,2.0325,0,0,0,0,0,0,0,0,0,0,30.475625,4.505625,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9.401875,0,113.6,0,4.505625,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.401875,0,0,0,0,53.8725,0
0,0,0,0,0,0,0,0,0,0,0,0,30.475625,0,0,0,0,53.8725
2.0325,0,0,0,9.401875,0,9.401875,17.258125,53.8725,0,2.0325,9.401875,17.258125,2.0325,0,0,30.475625,53.8725
4.505625,0,0,53.8725,0.63375,0,0.63375,0,17.258125,2.0325,0.63375,0.63375,0,2.0325,0,0,17.258125,53.8725
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.6,0
0,0,0,113.6,0,0,0,0,53.8725,0,0,0,0,0,0,0,0,0
4.505625,0,0,30.475625,0,0,2.0325,0,0,2.0325,0,2.0325,30.475625,4.505625,0,0,30.475625,30.475625
0,0,0,30.475625,0,0,0.63375,30.475625,113.6,4.505625,9.401875,0.63375,9.401875,0,0,0,53.8725,17.258125
0,0,0,0,0,0,0,0,0,0,0,113.6,4.505625,0,0,0,0,0
0,0,0,53.8725,0,0,0,0,53.8725,0,0,0,30.475625,0,0,0,0,0
0,0,0,0,0,0,4.505625,113.6,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,30.475625,0,0,0,0,0,4.505625,0,0,0,30.475625
0,0,0,0,0,0,0,0,0,9.401875,0,0,0,0,0,0,113.6,0
0.63375,0,0,0,0,0,2.0325,53.8725,0,0,0.63375,0,0,2.0325,0,0,113.6,0
0,0,0,17.258125,0,0,0,0,0,0,0.63375,0,0,2.0325,0,0,0,30.475625
0,0,0,0,0,0,0,30.475625,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9.401875,17.258125,0,0,0,0,0,0,113.6
4.505625,0,0,0,0.63375,0,0,9.401875,30.475625,9.401875,2.0325,9.401875,30.475625,9.401875,0,0,17.258125,113.6
0,0,0,0,0,0,0,0,0,0,0,53.8725,0,0,0,0,0,0
0.63375,0,0,0,0,0,0,30.475625,30.475625,0,0,0,17.258125,0.63375,0,0,113.6,0
2.0325,0,0,113.6,0,0,0,9.401875,30.475625,4.505625,0,0.63375,2.0325,2.0325,0,0,53.8725,30.475625
0,0,0,0,0,0,0,0,0,9.401875,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8725
4.505625,0,0,53.8725,0.63375,0,0,0,30.475625,4.505625,0,4.505625,9.401875,4.505625,0,0,53.8725,30.475625
0,17.258125,0,0,0,0,4.505625,0,0,2.0325,0,0,113.6,0,0,0,0,0
4.505625,0,0,0,0,0,4.505625,0,53.8725,0.63375,0,0,53.8725,0,0,0,53.8725,0
0,0,0,30.475625,0,0,4.505625,17.258125,0,2.0325,0,9.401875,9.401875,2.0325,0,0,113.6,0
4.505625,0,0,113.6,0,0,0,0,113.6,2.0325,0.63375,2.0325,4.505625,4.505625,0,0,30.475625,53.8725
0.63375,0,0,0,0,0,0,30.475625,0,0,0,0,0,9.401875,0,0,0,0
0,0,0,53.8725,0,0,9.401875,0,0,0,0.63375,0,0,0,0,0,0,0
0,0,0,0,0.63375,0,0,0,0,0.63375,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,113.6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,17.258125,0,0,0,0,0,0,0,0,53.8725,0
2.0325,0,0,0,0,0.63375,2.0325,0,113.6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,30.475625,0,0,0,0,0,0,0,0,0,0,0
2.0325,0,0,113.6,0,0,0,53.8725,0,0,4.505625,2.0325,0,9.401875,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.6
0,0,0,17.258125,0,0,9.401875,17.258125,9.401875,0,0,0,17.258125,0,0,0,53.8725,17.258125
0,0,0,0,0,0,30.475625,0,0,0,0,0,0,0,0,0,0,0
0,0,0,30.475625,0,0,9.401875,4.505625,30.475625,0,0,0,30.475625,9.401875,0,0,53.8725,4.505625
0,0,0,0,0,0,0,0,0,0,0,0,0,0.63375,0,0,0,53.8725
0,0,0,113.6,0,0,4.505625,0,0,0,0,0,0,0,0,0,0,0
0.63375,0,0,0,0,0,17.258125,0,0,0,0.63375,0,30.475625,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.258125,0,0,0,0,0,0,0,0
4.505625,0,0,0,30.475625,0,0,2.0325,0,2.0325,9.401875,4.505625,53.8725,0,0,0,53.8725,17.258125
0,0,0,0,0,0,0,0,113.6,0,0,30.475625,0,0,0,0,0,0
0,0,0,30.475625,0,0,9.401875,0,9.401875,0,0,0,0,0,0,0,53.8725,30.475625
9.401875,0,0,0,0,0,0.63375,0,9.401875,0,4.505625,17.258125,0,0,0,0,53.8725,0
0,0,0,0,0,0,0,0,0,0,0,0,53.8725,0,0,0,0,0
0.63375,0,0,0,0,0,0.63375,2.0325,0,30.475625,0,2.0325,17.258125,9.401875,0,0,53.8725,113.6
0,0,0,0,0,0,0,17.258125,0,0,0,0,113.6,0,0,0,0,53.8725
4.505625,0,0,0,0,0,0.63375,30.475625,30.475625,17.258125,0,0,0,9.401875,0,0,113.6,0
0,0,0,53.8725,0,0,9.401875,17.258125,0,0,0,0,0,2.0325,0,0,53.8725,0
0,0,0,113.6,0,0,2.0325,4.505625,0,4.505625,0,2.0325,17.258125,9.401875,0,0,30.475625,53.8725
0,0,0,0,0,0,4.505625,0,113.6,0,0,0,0,2.0325,0,0,0,0
0.63375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.6
0,0,0,113.6,30.475625,0,0,17.258125,0,2.0325,0,2.0325,17.258125,17.258125,0,0,17.258125,113.6
0,0,0,0,0,0,0,0,0,0,0,17.258125,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,17.258125,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9.401875,0,0,0,30.475625,0,0,0,0,0,0
4.505625,0,0,113.6,0,0,0.63375,2.0325,0,0.63375,0,0,30.475625,4.505625,0,0,17.258125,30.475625
0,0,0,53.8725,0,0,0.63375,0,113.6,9.401875,2.0325,0.63375,17.258125,4.505625,0,4.505625,30.475625,30.475625
2.0325,0,0,113.6,0,0,0,0.63375,113.6,4.505625,0,2.0325,53.8725,4.505625,0,0,9.401875,17.258125
0,0,0,0,0,0,0,113.6,0,0,0,0,0,0,0,0,113.6,0
0.63375,0,0,53.8725,0,0,0,0,0,0,0,0,17.258125,0,0,0,113.6,17.258125
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8725
4.505625,0,0,9.401875,2.0325,0,0,0,0,0,0,17.258125,0,0,0,0,30.475625,17.258125
0,0,0,0,0,0,0,0,0,0,2.0325,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.0325,0,113.6,0,0,0,0,0,0
0.63375,0,0,53.8725,2.0325,0,0.63375,53.8725,53.8725,0.63375,0,4.505625,0,4.505625,0,0,17.258125,53.8725
0,0,0,0,0,0,0,0,30.475625,0.63375,0,0,0,0,0,0,0,0
0,0,0,0,9.401875,0,0,0,0,0,0,9.401875,9.401875,0,0,0,113.6,0
0,0,0,0,0,0,2.0325,0,0,0,0,9.401875,0,0,0,0,0,0
17.258125,0,0,0,0,0,4.505625,113.6,113.6,4.505625,0,0,0.63375,0,0,0,0,0
0,0,0,30.475625,0,0,0,0,53.8725,0,0,0,0,0,0,0,0,0
0.63375,0,0,113.6,0,0,0,9.401875,53.8725,2.0325,0,2.0325,17.258125,0,0,0,9.401875,0
0,0,0,0,0,0,17.258125,0,0,0,0,0,0,0,0,0,0,0
2.0325,0,0,113.6,0,0,0.63375,9.401875,30.475625,17.258125,9.401875,0.63375,0,0,0,0,17.258125,113.6
0.63375,0,0,113.6,0,0,0,17.258125,113.6,0,9.401875,0.63375,17.258125,4.505625,0,0,4.505625,0
0,0,0,0,0,0,0,0,0,9.401875,113.6,0,0,0,0,0,0,0
