"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0,0.0161399707407127,0,0,0
0,0,0.00108547903081253,0,0,0
0,0,0.00256070048739447,0,0,0
0,0,0,0,0.0191311394256845,0
0,0,0,0,0.00974488132953938,0
0,0,0,0,0.000179683911743757,0
0.00384547,0.0461634,0.0003032802,0.0337452,0,0.07574405
0.0008573703,0.02960373,0.0003768045,0.02090806,0,0.06093829
0.003623302,0.02619729,0.0007042243,0.01402444,0,0.02108945
0.0005064498,0,0.0002270431,0.01586053,0.01556514,0.05808582
0.00509687,0,0.003073074,0.01461576,0.06741794,0.05666329
0.005995904,0,0.003512065,0.01255877,0.06166619,0.006062622
