"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0.0064470015677326,0,0.0329571052638928,0.01280011113221,0.00954895546265324
0,0.0194148393758638,0,0.0168470688661635,0.0899023071338855,0.0432253059697388
0,0.0117041503001802,0,0.00788079877299656,0.00329632937332792,0.0293486395151581
0,0,0.000378621776720362,0.00692899021304096,0.0545834566268146,0.0485382898643482
0,0,0.00124394720947462,0.0121735334647274,0.00230929402531401,0.0179456260514927
0,0,0.0011567465160218,0.0147105400364433,0.0466457193715184,0.0402699422885574
0.00173628132766531,0.0601419314735126,0,0.0235335653361463,0,0
0.000939026745377938,0.019675146272345,0.00117720214139602,0.0053483825081771,0,0
0.00426706885131012,0.0888123890907693,0.00212824552284725,0.0391489898629645,0,0
0.0116243,0.01990747,0.0002207745,0.13436,0.001163877,0.05709674
0.001344924,0.03240331,0.0004082362,0.08024051,0.03153434,0.02961828
0.004765566,0.03125228,0.001347916,0.1084348,0.06071547,0.07112605
0.003623302,0.02619729,0.0007042243,0.01402444,0,0.02108945
0.000623234,0.05469042,0.0007904817,0.009200992,0,0.04604129
0.0004229986,0.006112052,0.0006945005,0.01151388,0,0.03865625
0.001464506,0.03019725,0,0.02517222,0.06380203,0
0.003065697,0.01411142,0,0.008438219,0.02907168,0
0.001024592,0.01126633,0,0.01177542,0.05668757,0
0.00101305,0.02249653,0,0.07207317,0,0.09963805
0.0009781754,0.002935628,0,0.02686135,0,0.03945398
0.0114407,0.04822772,0,0.04570778,0,0.1187658
0.003345779,0,0.0008858874,0.0178894,0.06532654,0
0.00230868,0,0.0003689638,0.003300273,0.06201997,0
0.0001097812,0,0.0003380885,0.000740059,0.009237823,0
0.0005064498,0,0.0002270431,0.01586053,0.01556514,0.05808582
0.003647391,0,0.001196948,0.00722425,0.08692114,0.030988
0.0009561233,0,0.0003719168,0.006439332,0.04633706,0.08032011
5.748316e-06,0,0.0006931725,0,0.01397426,0.02393033
0.001459609,0,0.0002152037,0,0.02743934,0.01503527
0.02999302,0,0.00119373,0,0.002772829,0.01474951
