"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0.0064470015677326,0,0.0329571052638928,0.01280011113221,0.00954895546265324
0,0.0228070133518396,0,0.00870479030975651,0.0392174548616393,0.0144829885329571
0,0.0223986175053009,0,0.0195158227988062,0.061708296447169,0.019489602847959
0,0,0,0,0,0
0,0,0,0.118233739065651,0,0
0,0,0,0.157406693371792,0,0
0,0,0,0,0.00870854471773687,0.0111905395965622
0,0,0,0,0.0110714249926489,0.0044016689415747
0,0,0,0,0.0133256879020801,0.000617536487375501
0.001024592,0.01126633,0,0.01177542,0.05668757,0
0,0.003225746,0,0.001536855,0.01553999,0
0.001625246,0.02251208,0,0.01990353,0.1217496,0
0.001283566,0.007128259,0,0,0.001572889,0.02982307
0.0008105745,0.01412804,0,0,0.01120339,0.003820684
0.001823527,0.006105867,0,0,0.006526341,0.001910474
0.008365317,0,0.01675252,0,0,0
0.01828338,0,0.01582288,0,0,0
0.00874291,0,0.02311185,0,0,0
0.001115861,0,0,0.002495731,0.02081504,0
7.426012e-05,0,0,0.003035978,0.1050336,0
0.001226482,0,0,0.004308281,0.009960107,0
0,0,0,0.001400847,0.02440434,0
0,0,0,0.004260023,0.0323396,0.03464605
0,0,0,0.003696841,0.009214549,0.002328204
3.133195e-05,0,0,0,0.009903801,0
0.0001687164,0,0,0,0.03315391,0
0.0009367771,0,0,0,0.0172471,0
0.02427275,0,0.004527881,0,0.00384187,0
0.0004610945,0,0.0003534724,0,0.01463081,0
0.001311459,0,0.007718287,0,0.006686831,0
