"ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome"
0,0,0,0,0,0,0,0,307
0,0,0,0,0,0,0,306,0
0,0,0,0,0,0,0,162,0
0,0,0,0,0,0,0,299,0
0,0,0,0,0,0,206,0,0
0,0,0,0,0,0,242,0,0
0,0,0,0,0,0,297,0,151
0,0,0,0,0,0,168,0,22
0,0,0,0,0,0,280,0,74
0,0,0,0,0,0,94,216,0
0,0,0,0,0,0,135,163,0
0,0,0,0,0,0,200,167,0
0,0,0,0,0,0,182,99,46
0,0,0,0,0,0,140,157,9
0,0,0,0,0,0,169,149,79
0,0,0,0,0,9,0,0,266
0,0,0,0,0,62,0,0,243
0,0,0,0,0,2,0,103,141
0,0,0,0,0,1,0,166,45
0,0,0,0,0,0,0,200,25
0,0,0,0,0,1,259,0,48
0,0,0,0,0,0,91,114,45
0,0,0,0,0,0,126,190,53
0,0,0,0,0,0,91,156,8
0,0,0,0,226,0,0,0,103
0,0,0,0,247,0,0,0,97
0,0,0,0,190,0,0,0,29
0,0,0,0,296,0,123,0,0
0,0,0,0,209,0,50,0,0
0,0,0,0,240,0,58,0,0
0,0,0,0,218,0,39,0,20
0,0,0,0,143,0,32,0,4
0,0,0,0,184,0,75,0,34
0,0,0,0,147,0,11,70,0
0,0,0,0,276,0,18,46,0
0,0,0,0,174,0,5,92,0
0,0,0,0,305,3,0,0,0
0,0,0,0,255,12,0,0,0
0,0,0,0,303,4,0,0,0
0,0,0,0,183,4,1,36,0
0,0,0,0,174,6,77,67,0
0,0,0,0,210,0,25,123,0
0,0,0,0,108,0,11,37,3
0,0,0,0,272,0,0,40,23
0,0,0,0,123,0,4,77,32
0,0,0,236,0,0,0,0,0
0,0,0,240,0,0,0,0,0
0,0,0,188,0,0,0,0,0
0,0,0,211,0,0,0,17,35
0,0,0,177,0,0,0,8,0
0,0,0,298,0,0,0,25,0
0,0,0,231,0,0,1,40,0
0,0,0,212,0,0,1,17,0
0,0,0,192,0,0,19,26,0
0,0,0,168,0,0,20,29,6
0,0,0,237,0,0,2,15,2
0,0,0,201,0,0,65,16,20
0,0,0,194,0,18,0,0,0
0,0,0,202,0,3,0,0,0
0,0,0,227,0,0,0,8,12
0,0,0,203,0,2,0,8,3
0,0,0,161,0,0,0,6,3
0,0,0,152,0,0,9,0,4
0,0,0,155,0,1,6,0,0
0,0,0,164,0,0,21,0,5
0,0,0,94,136,0,0,0,0
0,0,0,43,134,0,0,0,0
0,0,0,101,109,0,0,0,0
0,0,0,137,86,0,0,0,0
0,0,0,144,138,0,0,0,0
0,0,0,140,84,0,0,0,1
0,0,0,82,56,0,0,18,0
0,0,0,125,138,0,0,14,0
0,0,0,163,94,0,0,5,0
0,0,0,114,119,0,27,0,0
0,0,0,157,137,0,6,0,0
0,0,0,148,116,0,25,0,0
0,0,0,116,37,0,2,11,0
0,0,0,84,149,0,6,23,0
0,0,0,125,55,0,37,4,0
0,0,0,216,134,0,0,0,0
0,0,0,123,177,0,0,0,0
0,0,0,150,105,0,0,0,0
0,0,0,81,80,1,0,40,0
0,0,0,73,114,0,0,15,0
0,0,0,99,80,0,0,30,0
0,0,0,99,144,0,9,0,0
0,0,0,156,107,0,1,0,0
0,0,0,172,119,1,3,0,0
0,0,0,107,80,0,2,0,0
0,0,0,98,111,0,2,0,1
0,0,0,191,78,0,0,0,0
0,0,0,121,138,0,0,0,0
0,0,0,194,95,0,2,13,0
0,0,0,117,135,0,0,0,0
0,0,0,81,129,0,0,6,0
0,0,0,107,45,0,20,20,9
0,0,0,177,94,0,1,9,3
0,0,257,0,0,0,0,0,0
