"ACRU.action","ACSA.action","BEAL.action","FAGR.action","TSCA.action","FRAM.action","PIST.action","PRSE.action","QURU.action","environment.initial","ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome","state_idx"
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,177,94,384
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,279,103,384
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,231,16,384
0,0,0,1,0,0,0,1,0,0,0,0,0,158,0,0,0,46,0,136
0,0,0,1,0,0,0,1,0,0,0,0,0,231,0,0,0,29,0,136
0,0,0,1,0,0,0,1,0,0,0,0,0,223,0,0,0,64,0,136
0,0,1,0,0,1,1,0,1,0,0,0,274,0,0,1,4,0,15,356
0,0,1,0,0,1,1,0,1,0,0,0,191,0,0,0,48,0,18,356
0,0,1,0,0,1,1,0,1,0,0,0,234,0,0,0,47,0,13,356
0,0,1,0,1,0,1,1,0,0,0,0,17,0,246,0,7,45,0,212
0,0,1,0,1,0,1,1,0,0,0,0,40,0,242,0,4,36,0,212
0,0,1,0,1,0,1,1,0,0,0,0,30,0,188,0,25,49,0,212
0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,147,0,55,354
0,1,0,0,0,1,1,0,1,0,0,3,0,0,0,0,239,0,89,354
0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,1,248,0,32,354
0,1,0,0,1,1,0,0,0,0,0,0,0,0,210,0,0,0,0,50
0,1,0,0,1,1,0,0,0,0,0,0,0,0,155,20,0,0,0,50
0,1,0,0,1,1,0,0,0,0,0,0,0,0,277,5,0,0,0,50
0,1,0,1,0,0,0,1,0,0,0,0,0,273,0,0,0,39,0,138
0,1,0,1,0,0,0,1,0,0,0,0,0,277,0,0,0,6,0,138
0,1,0,1,0,0,0,1,0,0,0,0,0,196,0,0,0,13,0,138
0,1,1,1,1,1,0,0,1,0,0,0,14,126,194,0,0,0,0,318
0,1,1,1,1,1,0,0,1,0,0,0,0,155,55,0,0,0,0,318
0,1,1,1,1,1,0,0,1,0,0,0,9,131,41,0,0,0,2,318
1,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,180,146,7,481
1,0,0,0,0,1,1,1,1,0,3,0,0,0,0,0,64,88,65,481
1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,60,127,60,481
1,0,1,0,0,0,1,1,0,0,0,0,180,0,0,0,98,33,0,197
1,0,1,0,0,0,1,1,0,0,0,0,220,0,0,0,0,53,0,197
1,0,1,0,0,0,1,1,0,0,0,0,146,0,0,0,53,58,0,197
1,0,1,0,1,0,0,1,0,0,0,0,2,0,151,0,0,25,0,149
1,0,1,0,1,0,0,1,0,0,0,0,27,0,254,0,0,31,0,149
1,0,1,0,1,0,0,1,0,0,0,0,27,0,137,0,0,24,0,149
1,0,1,1,0,1,1,0,1,0,0,0,45,265,0,0,0,0,0,365
1,0,1,1,0,1,1,0,1,0,0,0,20,149,0,0,38,0,8,365
1,0,1,1,0,1,1,0,1,0,0,0,25,239,0,0,0,0,0,365
1,0,1,1,1,0,0,0,0,0,0,0,18,242,71,0,0,0,0,29
1,0,1,1,1,0,0,0,0,0,0,0,9,133,58,0,0,0,0,29
1,0,1,1,1,0,0,0,0,0,0,0,55,161,128,0,0,0,0,29
1,0,1,1,1,0,0,1,1,0,0,0,9,176,97,0,0,12,0,413
1,0,1,1,1,0,0,1,1,0,0,0,0,203,140,0,0,11,0,413
1,0,1,1,1,0,0,1,1,0,0,0,4,120,108,0,0,6,0,413
1,0,1,1,1,0,1,1,1,0,0,0,10,146,85,0,0,2,12,477
1,0,1,1,1,0,1,1,1,0,0,0,41,120,130,0,0,5,1,477
1,0,1,1,1,0,1,1,1,0,0,0,10,135,132,0,0,2,0,477
1,1,0,0,1,0,0,1,0,0,3,0,0,0,194,0,0,51,0,147
1,1,0,1,1,0,0,0,0,0,0,0,0,146,147,0,0,0,0,27
1,1,0,1,1,0,0,0,0,0,0,0,0,92,93,0,0,0,0,27
1,1,0,1,1,0,0,0,0,0,0,0,0,89,129,0,0,0,0,27
1,1,1,0,1,0,0,1,1,0,0,0,47,0,210,0,0,45,2,407
1,1,1,0,1,0,0,1,1,0,0,0,35,0,194,0,0,30,0,407
1,1,1,1,0,0,1,0,0,0,0,0,53,265,0,0,1,0,0,79
1,1,1,1,0,0,1,0,0,0,0,0,30,209,0,0,2,0,0,79
1,1,1,1,0,0,1,0,0,0,0,0,1,180,0,0,4,0,0,79
1,1,1,1,0,1,1,0,0,0,0,0,1,217,0,0,1,0,0,111
1,1,1,1,0,1,1,0,0,0,0,0,11,181,0,0,2,0,0,111
1,1,1,1,0,1,1,0,0,0,0,0,39,147,0,0,5,0,0,111
