"ACRU.outcome","ACSA.outcome","BEAL.outcome","FAGR.outcome","TSCA.outcome","FRAM.outcome","PIST.outcome","PRSE.outcome","QURU.outcome"
0,0,0,258.25,0,0,0,14.25,0
0,0,0,258.25,0,0,0,14.25,0
0,0,0,258.25,0,0,0,14.25,0
0,0,0,258.25,0,0,0,0,2
0,0,0,258.25,0,0,0,0,2
0,0,0,258.25,0,0,0,0,2
0,0,0,180.25,0,0,5.75,14.25,2
0,0,0,180.25,0,0,5.75,14.25,2
0,0,0,180.25,0,0,5.75,14.25,2
0,0,0,122.375,64.875,0,64.875,14.25,0
0,0,0,122.375,64.875,0,64.875,14.25,0
0,0,0,122.375,64.875,0,64.875,14.25,0
0,0,64.875,0,180.25,0,5.75,0,0
0,0,64.875,0,180.25,0,5.75,0,0
0,0,64.875,0,180.25,0,5.75,0,0
0,0,64.875,0,180.25,0,14.25,28,0
0,0,64.875,0,180.25,0,14.25,28,0
0,0,64.875,0,180.25,0,14.25,28,0
0,0,0,0,258.25,0,28,0,0
0,0,0,0,258.25,0,28,0,0
0,0,0,0,258.25,0,28,0,0
0,0,180.25,0,0,0,0,28,0
0,0,180.25,0,0,0,0,28,0
0,0,180.25,0,0,0,0,28,0
0,0,0,122.375,122.375,0,0,0,0
0,0,0,122.375,122.375,0,0,0,0
0,0,0,122.375,122.375,0,0,0,0
0,0,0,0,0,28,0,0,122.375
0,0,0,0,0,28,0,0,122.375
0,0,0,0,258.25,0,28,0,14.25
0,0,0,0,258.25,0,28,0,14.25
0,0,0,0,258.25,0,28,0,14.25
0,0,258.25,0,0,0,2,0,0
0,0,258.25,0,0,0,2,0,0
0,0,258.25,0,0,0,2,0,0
0,0,64.875,0,180.25,0,0,0,0
0,0,64.875,0,180.25,0,0,0,0
0,0,64.875,0,180.25,0,0,0,0
0,0,0,0,0,0,0,258.25,0
0,0,0,0,0,0,0,258.25,0
0,0,0,0,0,0,0,258.25,0
0,0,0,0,180.25,0,0,122.375,0
0,0,0,0,180.25,0,0,122.375,0
0,0,0,0,180.25,0,0,122.375,0
0,0,0,0,258.25,0,28,0,14.25
0,0,0,0,258.25,0,28,0,14.25
0,0,0,0,258.25,0,28,0,14.25
0,0,0,258.25,0,0,28,0,0
0,0,0,258.25,0,0,28,0,0
0,0,0,258.25,0,0,28,0,0
0,0,0,258.25,0,0,5.75,0,0
0,0,0,258.25,0,0,5.75,0,0
0,0,0,258.25,0,0,5.75,0,0
0,0,0,122.375,64.875,0,0,14.25,0
0,0,0,122.375,64.875,0,0,14.25,0
0,0,0,122.375,64.875,0,0,14.25,0
0,0,14.25,180.25,0,0,0,0,0
0,0,14.25,180.25,0,0,0,0,0
0,0,14.25,180.25,0,0,0,0,0
0,0,14.25,180.25,0,0,0,64.875,0
0,0,14.25,180.25,0,0,0,64.875,0
0,0,14.25,180.25,0,0,0,64.875,0
