"MelS.action","Hyd.action","SimA.action","Vir.action","Stv.action","Merc.action","Trop.action","Ins.action","Wplus.action","Eqx.action","Paul.action","Neb.action","Zap.action","Fun.action","Psd.action","Ser.action","WW.action","Pro.action","Eug.action","Bir.action","Pallid.action","food.initial","temperature.initial","MelS.outcome","Hyd.outcome","SimA.outcome","Vir.outcome","Stv.outcome","Merc.outcome","Trop.outcome","Ins.outcome","Wplus.outcome","Eqx.outcome","Paul.outcome","Neb.outcome","Zap.outcome","Fun.outcome","Psd.outcome","Ser.outcome","WW.outcome","Pro.outcome","Eug.outcome","Bir.outcome","Pallid.outcome","state_idx"
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"thick","19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"thick","19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524289
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"thick","25",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"thin","25",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524292
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"thick","19",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4104
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"thick","19",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262152
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"thick","25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"thick","25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8208
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"thick","19",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4128
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"thick","25",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16416
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"thin","19",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32800
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"thin","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,131104
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"thick","19",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"thick","25",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1048832
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"thick","19",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5120
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"thick","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67584
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"thick","25",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,73728
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"thick","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097152
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"thin","25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81920
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"thick","25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,540672
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"thick","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1114112
