"Quad.action","Rob.action","Bir.action","Pallid.action","PerO.action","Imm.action","Gau.action"
0,0,0,0,0,0.0769230769230769,0
0,0,0,0,0,0.173076923076923,0.153846153846154
0,0,0,0,0.0961538461538462,0,0
0,0,0,0,0,0,0
0,0,0,0,0.153846153846154,0.0961538461538462,0
0,0,0,0,0.0769230769230769,0,0
0,0,0,0.115384615384615,0,0,0.0961538461538462
0,0,0,0.0961538461538462,0,0,0
0,0,0,0,0,0,0
0,0.115384615384615,0,0,0,0,0
0,0.0961538461538462,0,0,0,0,0
0,0,0,0,0,0,0
0,0.153846153846154,0,0,0,0,0
0,0.0769230769230769,0,0,0,0.153846153846154,0
0,0.173076923076923,0,0,0,0,0
0,0,0,0,0.115384615384615,0,0
0,0,0,0,0,0,0
0.153846153846154,0,0,0,0,0,0
0.0769230769230769,0,0,0,0,0,0
0.173076923076923,0,0,0,0,0,0
0,0,0,0,0.173076923076923,0,0
0.115384615384615,0,0,0,0,0,0
0.0961538461538462,0,0,0,0,0,0
0,0,0,0.153846153846154,0,0,0
0.153846153846154,0,0,0.0769230769230769,0,0,0
0.0769230769230769,0,0,0.173076923076923,0,0,0
