"AGHE.action","AGRE.action","AMME.action","ANAR.action","CEME.action","CLPU.action","ERBO.action","ERCI.action","EUPE.action","GECA.action","HECO.action","LACA.action","LOPU.action","LOWR.action","MEPO.action","NAAT.action","PLER.action","SACA.action","environment.initial","AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome","state_idx"
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4056.57220204305,0,0,1218.63893742565,0,0,0.0200759387055982,0,0,0,0,0,0,0,0,0,0,214
1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2575
1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,4.98458987535075e-10,0,0,4320.74488426215,0,0,0,0,0,29175.5250742124,0,0,0,0,0,0,0,3931
0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,4694
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4899
1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3293.4913683504,0,0,0,0,0,0,0.000259921705555378,0,0,0,0,0,0,0,0,0,0,8345
0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,6.32781237630843e-10,0,0,4321.04523741948,0,0,0.00089679400641681,0,0,29172.5523460601,0,0,0,0,0,0,0,9398
0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,4056.57453455625,0,0,1218.65917190749,0,0,0,0,0,0,0,0,0,0,0,0,0,11102
0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,6323.5801748912,0,0,0,0,0,0,0,0,408.593510295792,0,0,0,0,11124
0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,6.9057103182939e-10,0,0,4321.15958431802,0,0,0,0,0,29171.434742531,0,0,0,0,0,0,0,11286
0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4311.05996527905,0,0,0.000436591871119646,0,0,29271.0375334803,0,0,0,0,0,0,0,13784
1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,6.79328348240496e-10,0,0,4321.13829939961,0,0,0,0,0,29171.6446838343,0,0,0,0,0,0,0,13947
0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6323.23131821133,0,0,0,0,0,0,0,0,408.753922407178,0,0,0,0,14616
0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7205.93666089592,0,0,0.0577476402917679,0,0,0,0,0,0,0,0,0,0,16792
0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4311.18661384455,0,0,0.000472636919908786,0,0,29269.7881540728,0,0,0,0,0,0,0,18360
0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,4056.57234027833,0,0,1218.64013661392,0,0,0.0188861472611405,0,0,0,0,0,0,0,0,0,0,19190
0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,7206.00266662613,0,0,0,0,0,0,0,0,0,0,0,0,0,21084
0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,2593.59151911459,0,0,0,0,68.8865378305157,0,0,0,0,0,0,0,0,0,0,23244
0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24654
0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,6323.24516500375,0,0,0,0,0,0,0,0,408.747555358701,0,0,0,0,25200
0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4311.06880956629,0,0,0,0,0,29270.9553003305,0,0,0,0,0,0,0,25944
1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,4056.57284995493,0,0,1218.64455804676,0,0,0.0144993598136588,0,0,0,0,0,0,0,0,0,0,26783
1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,4146.17950323508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27143
1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27469
0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4311.06559271699,0,0,0.000416558554022043,0,0,29270.9822663409,0,0,0,0,0,0,0,28340
1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31289
1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31305
1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3293.49180091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33081
1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,5.73667939886688e-10,0,0,4320.92159175821,0,0,0,0,0,29173.7821499418,0,0,0,0,0,0,0,34423
