"AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome"
0,0,2658.52458326365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,114.3387,0,0,0,0,0,21699.65,0
0,0,0,0,0,0,0,0,0,0,94.41203,0,0,0,0,0,21699.7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,0.0001012089,0,0,115.6187,0,0,0,0,0,21699.64,0
0,0,0,0,0,0,0,0,0,0,97.47275,0,0,0,0,0,21699.69,0
0,0,0,0,0,0,0,0,0,0,96.73892,0,0,0,0,0,21699.7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8341.718
0,9.931602e-10,0,0,4321.642,0,0,0,0,0,29166.68,0,0,0,0,0,0,0
0,0,0,0,4311.593,0,0,0.0001499635,0,0,29265.79,0,0,0,0,0,0,2.141759e-08
0,7.574334e-10,0,0,4321.279,0,0,0.0007614528,0,0,29170.25,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,34893.18,0,0,0,0,0,0,1211.738
0,4056.573,0,0,1218.646,0,0,0.01317747,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,105.0581,0,0,0,0,0,21699.67,0
0,0,0,0,0,0,0,8.183744e-05,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0
0,0,0,0,0,0,0,7.607546e-05,0,0,95.5584,0,0,0,0,0,21699.7,0
0,0,0,0,0,0,0,0.0001000414,0,0,111.0847,0,0,0,0,0,21699.65,0
0,0,0,0,0,0,0,7.843783e-05,0,0,126.805,0,0,0,0,0,21699.61,0
0,0,0,0,0,0,0,7.891706e-05,0,0,123.891,0,0,0,0,0,21699.62,0
0,0,0,0,0,0,0,9.17173e-05,0,0,133.7217,0,0,0,0,0,21699.59,0
