"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
0,1,1,0,0,0,"dry",0,2755.42687427732,0,0,0,0,6
1,1,1,0,0,0,"wet",0,3742.9676508044,0,0,0,0,7
0,0,0,1,0,0,"wet",0,0,0,2030.67844694714,0,0,8
0,1,0,1,0,0,"wet",0,3742.9676508044,0,0,0,0,10
1,1,0,1,0,0,"dry",5487.54449852134,0,0,283.560254190435,0,0,11
0,0,0,0,1,0,"wet",0,0,0,0,8614.48470697596,0,16
1,1,0,0,1,0,"dry",0,0,0,0,5072.11153581888,0,19
0,0,1,0,1,0,"dry",0,0,0,0,5072.11153581888,0,20
1,0,1,0,1,0,"dry",0,0,0,0,5072.11153581888,0,21
1,1,1,0,1,0,"wet",0,2701.35187468275,0,0,4176.34574853526,0,23
0,1,0,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,26
0,1,1,1,1,0,"wet",0,2701.35187468276,0,0,4176.34574853526,0,30
1,0,0,0,0,1,"dry",5357.77775471681,0,0,0,0,3267.30581840922,33
0,1,0,0,0,1,"dry",0,2441.95832048756,0,0,0,3600.73608868887,34
0,0,1,0,0,1,"dry",0,0,720.933983618679,0,0,3494.1090391444,36
1,0,1,0,0,1,"wet",10074.5770975921,0,0,0,0,69.3071942792377,37
1,1,1,0,0,1,"dry",5357.77775471681,0,0,0,0,3267.30581840922,39
0,1,0,1,0,1,"wet",0,3742.9676508044,0,0,0,0,42
0,0,1,1,0,1,"wet",0,0,0,1661.90085269464,0,5415.10438963565,44
0,1,1,1,0,1,"wet",0,3742.9676508044,0,0,0,0,46
1,1,1,1,0,1,"wet",0,3742.9676508044,0,0,0,0,47
0,0,0,0,1,1,"wet",0,0,0,0,8541.21650090317,177.448724115955,48
1,0,0,0,1,1,"dry",0,0,0,0,5072.11153581888,0,49
0,1,1,0,1,1,"dry",0,0,0,0,5072.11153581888,0,54
0,1,0,1,1,1,"wet",0,2701.35187468276,0,0,4176.34574853526,0,58
1,1,0,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,59
0,0,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,60
1,0,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,61
0,1,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,62
1,0,0,0,0,0,"dry",5976.62903988232,0,0,0,0,0,1
1,0,1,0,0,0,"dry",5976.62903988232,0,0,0,0,0,5
1,0,1,1,0,0,"dry",5487.54449852134,0,0,283.560254190435,0,0,13
