"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
0,0,0,0,0,0,"dry",0,0,0,0,0,0,64
0,0,0,1,0,0,"dry",0,0,0,855.75979903007,0,0,8
0,1,0,1,0,0,"wet",0,3742.9676508044,0,0,0,0,10
1,1,0,1,0,0,"wet",0,3742.9676508044,0,0,0,0,11
0,1,1,1,0,0,"dry",0,2309.58830101005,0,486.446193048757,0,0,14
0,0,0,0,1,0,"wet",0,0,0,0,8614.48470697596,0,16
1,1,0,0,1,0,"wet",0,2701.35187468275,0,0,4176.34574853526,0,19
0,0,1,0,1,0,"wet",0,0,0,0,8614.48470697596,0,20
1,0,1,0,1,0,"wet",2953.3891618733,0,0,0,8391.21142810233,0,21
0,1,1,0,1,0,"wet",0,2701.35187468276,0,0,4176.34574853526,0,22
0,0,0,1,1,0,"wet",0,0,0,0,8614.48470697596,0,24
1,0,0,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,25
0,1,0,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,26
1,1,0,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,27
0,0,1,1,1,0,"wet",0,0,0,0,8614.48470697596,0,28
1,0,0,0,0,1,"wet",10074.5859884317,0,0,0,0,69.2863079044862,33
0,1,0,0,0,1,"dry",0,2441.95832048756,0,0,0,3600.73608868887,34
1,1,0,0,0,1,"wet",0,3742.9676508044,0,0,0,0,35
0,0,1,0,0,1,"wet",0,0,0,0,0,8130.19921373607,36
1,0,1,0,0,1,"wet",10074.5770975921,0,0,0,0,69.3071942792377,37
0,1,1,0,0,1,"wet",0,3742.9676508044,0,0,0,0,38
1,1,1,0,0,1,"dry",5357.77775471681,0,0,0,0,3267.30581840922,39
0,0,0,1,0,1,"dry",0,0,0,790.526527876695,0,3101.34032038135,40
0,1,1,1,0,1,"wet",0,3742.9676508044,0,0,0,0,46
1,0,0,0,1,1,"dry",0,0,0,0,5072.11153581888,0,49
0,1,0,0,1,1,"dry",0,0,0,0,5072.11153581888,0,50
1,1,0,0,1,1,"dry",0,0,0,0,5072.11153581888,0,51
0,0,0,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,56
1,0,0,1,1,1,"wet",2953.38916187329,0,0,0,8391.21142810233,0,57
1,0,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,61
1,0,0,0,0,0,"dry",5976.62903988232,0,0,0,0,0,1
1,0,0,1,0,0,"dry",5487.54449852134,0,0,283.560254190435,0,0,9
