"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,1367.14104905733,0,0,0,0
1780.67348769232,0,0,0,0,0
0,0,1302.99443219996,0,0,0
0,1372.45654783404,0,0,0,0
1792.40366156777,0,56.5190371210633,0,0,0
0,0,0,1168.74344598483,0,0
0,170.027127219596,0,242.372423391136,0,0
0,0,0,0,4473.98428728238,0
0,0,0,0,4194.34551958396,0
0,0,312.663820587214,0,4184.64594397628,0
0,2336.9865068682,0,0,0,0
489.575995595834,0,0,0,5561.84859883156,0
0,723.640545610989,0,0,214.349679817524,0
0,0,0,753.144909954009,0,0
0,738.848765591149,0,0,212.106077670832,0
0,0,0,0,0,4527.89951792375
0,584.526697471027,0,0,0,0
0,0,36.3024278704541,0,0,4518.98337800325
4792.12628580326,0,0,0,0,0
0,1146.39143678782,0,0,0,0
0,0,0,294.070627910439,0,472.192076664255
0,208.187479010674,0,0,0,0
0,0,0,287.52853414517,0,445.492548971063
0,0,0,847.334806557938,0,3433.00997388298
0,3937.71077845268,328.631065945508,0,0,0
0,1158.38733017235,89.1657844166716,0,342.597133152557,0
0,0,0,1014.87084962972,0,6603.75299958568
0,3984.54799066832,0,0,0,0
0,0,0,1008.32875586447,0,6577.05347189268
0,0,0,609.703795611939,1228.81648212825,1756.35652922428
4527.31436417946,0,0,0,0,0
4529.01388384729,0,84.7168762726122,0,0,0
