"ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome"
0,3742.9676508044,0,0,0,0
0,3742.9676508044,0,0,0,0
0,0,1502.20700313119,0,0,0
5976.62903988232,0,0,0,0,0
0,0,0,855.75979903007,0,0
0,2309.58830101005,0,486.446193048757,0,0
0,0,0,0,8614.48470697596,0
0,0,0,0,5072.11153581888,0
0,0,0,387.177162777096,4877.09164380973,0
0,0,0,387.177162777096,4877.09164380973,0
0,0,0,387.177162777096,4877.09164380973,0
0,0,0,0,0,8130.19921373607
5357.77775471681,0,0,0,0,3267.30581840922
5357.77775471681,0,0,0,0,3267.30581840922
0,3742.9676508044,0,0,0,0
5357.77775471681,0,0,0,0,3267.30581840922
0,0,0,1661.90085269464,0,5415.10438963565
0,3742.9676508044,0,0,0,0
0,3742.9676508044,0,0,0,0
2953.3891618733,0,0,0,8391.21142810233,0
0,2701.35187468276,0,0,4176.34574853526,0
0,0,0,0,5072.11153581888,0
0,0,0,0,5072.11153581888,0
0,2701.35187468275,0,0,4176.34574853526,0
0,0,0,387.177162777096,4877.09164380973,0
0,0,0,387.177162777096,4877.09164380973,0
0,2701.35187468276,0,0,4176.34574853526,0
0,2701.35187468275,0,0,4176.34574853526,0
0,0,0,387.177162777096,4877.09164380973,0
0,2701.35187468276,0,0,4176.34574853526,0
5976.62903988232,0,0,0,0,0
5976.62903988232,0,0,0,0,0
