"ACWR.action.outcome","FEMI.action.outcome","HOMU.action.outcome","PLER.action.outcome","SACO.action.outcome","URLI.action.outcome"
0,0.707333333330229,0.804666658945004,0,819.300074181328,0
1530.37384394771,0.707333333330229,0.804666658943256,0,4064.18697857229,0
0,0.707333333330229,0.804666658949976,213.964507107039,606.038160275262,0
4002.4201662191,0.707333333330229,0.804666658943525,0,0,2589.31038808454
3734.5627484984,0.707333333330229,0.80466671386345,20.7681998781684,0,2464.06632562606
0,0.707333333358822,0.804666658943256,0,810.458063967403,0
0,0.707333333330229,0.804666658945348,0,810.87370951563,0
0,0.707333333333858,0.804666658943256,232.626758246721,608.061195995771,0
0,0.707333333330229,0.804666682608326,236.105454373994,578.266833536103,0
0,0.707333333330229,0.804666658947694,232.62740199935,608.060938680634,0
