"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
1,1,0,1,0,0,"dry",5487.54449852134,0,0,283.560254190435,0,0,11
0,1,0,0,1,0,"wet",0,2701.35187468276,0,0,4176.34574853526,0,18
1,0,1,0,1,0,"wet",2953.3891618733,0,0,0,8391.21142810233,0,21
0,1,1,0,1,0,"dry",0,0,0,0,5072.11153581888,0,22
1,0,0,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,25
0,1,0,1,1,0,"wet",0,2701.35187468276,0,0,4176.34574853526,0,26
1,0,0,1,0,1,"wet",10074.6143443369,0,0,0,0,69.2196937193981,41
0,0,0,0,1,1,"wet",0,0,0,0,8541.21650090317,177.448724115955,48
1,0,0,0,0,0,"dry",5976.62903988232,0,0,0,0,0,1
1,0,1,1,0,0,"dry",5487.54449852134,0,0,283.560254190435,0,0,13
