"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
295.33891618733,4615.25597786896,0,0,0,0
0,316.75274791838,0,0,316.75274791838,0
0,295.33891618733,0,0,295.33891618733,0
0,0,316.75274791838,0,850.234929516862,0
4615.25597786896,0,295.33891618733,0,0,0
0,0,0,316.75274791838,123.440041951613,0
0,4615.25597786896,0,295.33891618733,4615.25597786896,0
0,0,123.440041951613,850.234929516862,316.75274791838,0
0,295.33891618733,0,0,0,4615.25597786896
0,0,0,123.440041951613,850.234929516862,316.75274791838
