"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
1007.45770975921,2344.07795304143,0,0,0,0
0,1361.4610797651,0,979.552360261885,0,0
0,0,0,0,1007.45770975921,0
0,979.552360261885,1361.4610797651,292.270137129759,979.552360261885,0
0,0,0,0,0,1007.45770975921
1361.4610797651,0,979.552360261885,0,0,979.552360261885
0,0,0,1007.45770975921,0,0
0,1361.4610797651,292.270137129759,979.552360261885,0,292.270137129759
0,0,0,0,1007.45770975921,2344.07795304143
292.270137129759,0,1361.4610797651,292.270137129759,979.552360261885,1361.4610797651
