"V1","V2","V3","V4","V5","V6"
5976.629,9.09494701772928e-13,2.95804549402484e-11,0,0,0
0,0,0,2030.6784,0,0
0,1214.00720724847,0,213.176954462844,4562.17165846342,0
0,0,0,0,0,8162.97734898866
0,0,0,0,7248.68383151426,111.332356969692
0,2701.352,8.48756584933744e-12,0,4176.34600000001,2.8421709430404e-13
0,0,0,387.177200000002,4877.092,0
0,0,0,27.4280474109975,7209.26535576961,104.309194697876
0,2701.35199999999,6.58778950937622e-12,1.36424205265939e-12,4176.34600000001,3.69482222595252e-13
5976.629,0,0,0,0,0
