"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action"
0,3530.75908117774,0,0,0,0
0,0,0,914.567140016991,0,0
0,0,0,0,787.574506248594,0
152.175821976842,914.567140016991,1115.7340630689,152.175821976842,914.567140016991,0
0,0,0,0,0,787.574506248594
1115.7340630689,152.175821976842,914.567140016991,1115.7340630689,0,914.567140016991
787.574506248594,3530.75908117774,0,0,3530.75908117774,0
914.567140016991,1115.7340630689,0,914.567140016991,1115.7340630689,152.175821976842
0,0,3530.75908117774,0,787.574506248594,3530.75908117774
0,914.567140016991,1115.7340630689,152.175821976842,914.567140016991,1115.7340630689
