"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
0,0,0,0,0,0,"dry",0,0,0,0,0,0,64
1,1,0,0,0,0,"dry",5976.62903988232,0,0,0,0,0,3
0,1,1,0,0,0,"dry",0,2755.42687427732,0,0,0,0,6
0,0,0,1,0,0,"dry",0,0,0,855.75979903007,0,0,8
1,0,0,0,1,0,"dry",0,0,0,0,5072.11153581888,0,17
1,1,1,0,1,0,"wet",0,2701.35187468275,0,0,4176.34574853526,0,23
0,0,0,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,24
1,0,0,1,1,0,"wet",2953.3891618733,0,0,0,8391.21142810233,0,25
1,1,0,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,27
1,0,1,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,29
0,1,1,1,1,0,"wet",0,2701.35187468276,0,0,4176.34574853526,0,30
0,1,0,0,0,1,"dry",0,2441.95832048756,0,0,0,3600.73608868887,34
1,1,0,0,0,1,"dry",5357.77775471681,0,0,0,0,3267.30581840922,35
1,1,1,0,0,1,"wet",0,3742.9676508044,0,0,0,0,39
1,0,0,1,0,1,"dry",4922.35590061265,0,0,278.821257961259,0,3027.14141695288,41
0,1,0,1,0,1,"dry",0,2058.02976968146,0,460.046093961935,0,3167.5274791838,42
0,0,1,1,0,1,"dry",0,0,0,790.526527876695,0,3101.34032038135,44
1,1,1,1,0,1,"wet",0,3742.9676508044,0,0,0,0,47
0,0,0,0,1,1,"dry",0,0,0,0,5072.11153581888,0,48
0,1,0,0,1,1,"wet",0,2701.35187468276,0,0,4176.34574853526,0,50
1,1,0,0,1,1,"wet",0,2701.35187468275,0,0,4176.34574853526,0,51
