"BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome"
0.318684096520949,0,0.0565631092091205,0.373497046556068,0.239397256663054,0,0,0,0,0,0,0
0,0,0.545708796591789,0,0,0.318684096520949,0,0,0,0,0,0
0.318684096520949,0,0.373497046556068,0,0,0.0565631092091205,0.239397256663054,0,0,0,0,0
0.318684096520949,0,0,0.545708796591789,0,0.0565631092091205,0.318684096520949,0,0,0,0,0
0.239397256663054,0,0,0.545708796591789,0,0,0.318684096520949,0,0,0,0,0
0.373497046556068,0,0,0,0.713281884531842,0,0.239397256663054,0,0,0,0,0
0,0,0,0.239397256663054,0.452034564865534,0,0.318684096520949,0,0,0,0,0
0,0,0,0.239397256663054,0.452034564865534,0,0.318684096520949,0,0,0,0,0
0.239397256663054,0,0.545708796591789,0,0,0,0,0,0,0,0,0
0.373497046556068,0,0.545708796591789,0,0,0.149120964801171,0,0,0,0,0,0
0,0,0.545708796591789,0,0,0.318684096520949,0,0,0,0,0,0
0.239397256663054,0,0.373497046556068,0,0,0,0.239397256663054,0,0,0,0,0
0,0,0,0,0.713281884531842,0,0.318684096520949,0,0,0.0565631092091205,0,0
0,0,0,0.373497046556068,0.373497046556068,0,0,0.149120964801171,0,0.149120964801171,0,0
0,0,0,0.713281884531842,0,0,0.373497046556068,0,0,0.0565631092091205,0,0
0.318684096520949,0,0,0.239397256663054,0.452034564865534,0,0.239397256663054,0,0,0,0,0
0,0,0,0.545708796591789,0,0.149120964801171,0.452034564865534,0,0,0,0,0
0,0,0,0,0,0,0.373497046556068,0,0.149120964801171,0.0565631092091205,0,0
0,0.452034564865534,0,0,0,0,0.239397256663054,0,0.452034564865534,0.0565631092091205,0,0
0,0.0565631092091205,0.318684096520949,0,0,0,0.318684096520949,0,0.452034564865534,0,0,0
0,0,0.545708796591789,0,0,0,0,0,0.713281884531842,0,0,0
0,0.149120964801171,0,0,0.545708796591789,0,0,0,0.545708796591789,0.149120964801171,0,0
0,0,0.452034564865534,0,0.149120964801171,0,0,0,0.713281884531842,0,0,0
0,0,0,0,0.713281884531842,0,0.318684096520949,0,0.545708796591789,0.0565631092091205,0,0
0,0,0,0.149120964801171,0.545708796591789,0,0.318684096520949,0,0.713281884531842,0.0565631092091205,0,0
0.239397256663054,0,0.239397256663054,0.452034564865534,0,0,0,0,0,0,0,0
0,0,0.239397256663054,0.452034564865534,0.0565631092091205,0,0,0,0,0,0,0
0,0,0,0.545708796591789,0,0.149120964801171,0.452034564865534,0,0,0,0,0
0,0,0,0.713281884531842,0,0,0,0.239397256663054,0,0,0,0
0,0,0,0.373497046556068,0.373497046556068,0.0565631092091205,0,0.149120964801171,0,0,0,0
0.713281884531842,0,0.0565631092091205,0,0.545708796591789,0,0,0,0.452034564865534,0,0,0
0.713281884531842,0,0,0.0565631092091205,0.373497046556068,0,0,0,0.545708796591789,0,0,0
0.713281884531842,0,0,0,0.545708796591789,0,0.149120964801171,0,0.452034564865534,0,0,0
0.452034564865534,0,0,0,0,0,0,0,0.149120964801171,0,0.0565631092091205,0
0,0,0.545708796591789,0,0,0,0,0,0.713281884531842,0,0,0
0.713281884531842,0,0,0.373497046556068,0,0,0,0,0.713281884531842,0,0,0
0.713281884531842,0,0,0,0.545708796591789,0,0.149120964801171,0,0.452034564865534,0,0,0
0,0,0,0.149120964801171,0.545708796591789,0,0.318684096520949,0,0.713281884531842,0,0,0
0,0,0,0.452034564865534,0.318684096520949,0.0565631092091205,0,0,0,0.149120964801171,0,0
0.373497046556068,0,0,0,0.713281884531842,0,0.239397256663054,0,0,0,0,0
0,0,0.149120964801171,0.373497046556068,0.239397256663054,0,0,0.149120964801171,0,0.0565631092091205,0,0
0.318684096520949,0,0.0565631092091205,0.373497046556068,0.239397256663054,0,0,0,0,0,0,0
0.373497046556068,0,0.149120964801171,0.373497046556068,0,0.149120964801171,0,0,0,0,0,0
0,0,0,0,0,0.149120964801171,0.373497046556068,0,0,0.0565631092091205,0,0
