"a","b","c","d","e","f","g","h","i","j","k","l","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","feasible.and.stable","state_idx"
1,0,0,0,1,0,0,0,0,0,0,0,2,0.362233577550042,0,0,0,0.622141844876497,0,0,0,0,0,0,0,"TRUE",17
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.297225572979494,0,0,0,0,0,0,"TRUE",32
0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.538479603407673,0,0,0,0.297225572979494,0,0,0,0,0,0,"TRUE",34
1,0,1,0,1,1,0,0,0,0,0,0,4,0.348158651409299,0,0.495168440220465,0,0.0191098609634054,0.153649869074911,0,0,0,0,0,0,"TRUE",53
1,1,0,1,1,1,0,0,0,0,0,0,3,0.318037733340555,0,0,0.364376436020598,0.327136202488416,0,0,0,0,0,0,0,"TRUE",59
1,1,1,1,1,1,0,0,0,0,0,0,4,0.311639715439369,0,0.0439957807542194,0.356667964840835,0.284438128318849,0,0,0,0,0,0,0,"TRUE",63
1,1,0,0,0,0,1,0,0,0,0,0,3,0.269028295678878,0.505914116023143,0,0,0,0,0.104850507701819,0,0,0,0,0,"TRUE",67
0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0.436699772348883,0,0,0,0.319582713105295,0,0,0,0,0,"TRUE",70
1,0,0,1,1,0,1,0,0,0,0,0,4,0.335851588538066,0,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,"TRUE",89
1,1,1,1,1,0,1,0,0,0,0,0,4,0.335851588538067,0,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,"TRUE",95
0,1,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0.535335167139231,0,0.306606495780453,0,0.185161547666534,0,0,0,0,"TRUE",170
1,0,1,0,1,1,0,1,0,0,0,0,4,0.34815797855103,0,0.495167121663651,0,0.0191129648064446,0.153647592604487,0,0,0,0,0,0,"TRUE",181
0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0.436699772348906,0,0,0,0.319582713105312,0,0,0,0,0,"TRUE",196
0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0.599505650674256,0,0,0.372569325919157,0,0,0,0,0,"TRUE",200
1,0,0,0,0,1,1,1,0,0,0,0,3,0.316635212877443,0,0,0,0,0.0959080581123554,0.290365402929697,0,0,0,0,0,"TRUE",225
1,0,1,0,0,1,1,1,0,0,0,0,4,0.319080277746698,0,0.344938235859653,0,0,0.100833842795931,0.270343951045312,0,0,0,0,0,"TRUE",229
1,1,0,1,1,1,1,1,0,0,0,0,4,0.335851588538069,0,0,0.236058144339668,0.44604303388734,0,0.261501353083417,0,0,0,0,0,"TRUE",251
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.16467360144156,0,0,0,"TRUE",256
1,1,1,1,0,0,0,0,1,0,0,0,3,0.810092396239882,0,0,0.353681770766742,0,0,0,0,0.712510466336691,0,0,0,"TRUE",271
0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,0.296007405232136,0.388115804125127,0,0,0,0.781240012617164,0,0,0,"TRUE",280
1,1,0,1,1,0,0,0,1,0,0,0,4,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,"TRUE",283
1,0,1,1,1,0,0,0,1,0,0,0,4,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,"TRUE",285
0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0.104477795379888,0,0,0.145526327531943,0,0,0,"TRUE",288
1,1,0,0,1,1,0,0,1,0,0,0,3,0.719509517402095,2.9831104677193e-10,0,0,0.515327633908732,0,0,0,0.491558381245948,0,0,0,"TRUE",307
1,0,1,1,1,1,0,0,1,0,0,0,4,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,"TRUE",317
0,1,1,0,0,0,1,0,1,0,0,0,3,0,4.40114941256895e-06,0.342253180735614,0,0,0,0.325192225598908,0,0.486298978664504,0,0,0,"TRUE",326
1,1,1,1,1,0,1,0,1,0,0,0,5,0.754208561399623,0,0,0.0556355403462546,0.467051221025409,0,0.152635602453368,0,0.546776674598641,0,0,0,"TRUE",351
1,1,0,0,0,1,1,0,1,0,0,0,4,0.619995116997151,0.350268050672631,0,0,0,0,0.0751666254709726,0,0.462177278564418,0,0,0,"TRUE",355
0,1,1,0,1,1,1,0,1,0,0,0,3,0,0,0,0,0.672968782474366,0,0.323870632593137,0,0.526844804721961,0,0,0,"TRUE",374
0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0.535934623446373,0,0,0,0,0,0.663317991239174,0,0,0,"TRUE",388
1,1,0,1,0,0,0,1,1,0,0,0,3,0.810092396239882,0,0,0.353681770766745,0,0,0,0,0.712510466336692,0,0,0,"TRUE",395
1,0,0,0,1,0,0,1,1,0,0,0,3,0.719509517379291,0,0,0,0.515327634166497,0,0,0,0.491558381165937,0,0,0,"TRUE",401
1,1,0,0,1,0,0,1,1,0,0,0,3,0.719509517401853,2.95145241142416e-10,0,0,0.515327633911468,0,0,0,0.491558381245099,0,0,0,"TRUE",403
