"Achmi.action","Agrsm.action","Amocan.action","Andge.action","Asctu.action","Elyca.action","Koecr.action","Lesca.action","Liaas.action","Luppe.action","Monfi.action","Panvi.action","Petpu.action","Poapr.action","Queel.action","Quema.action","Schsc.action","Sornu.action","environment.initial","Achmi.outcome","Agrsm.outcome","Amocan.outcome","Andge.outcome","Asctu.outcome","Elyca.outcome","Koecr.outcome","Lesca.outcome","Liaas.outcome","Luppe.outcome","Monfi.outcome","Panvi.outcome","Petpu.outcome","Poapr.outcome","Queel.outcome","Quema.outcome","Schsc.outcome","Sornu.outcome","state_idx"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,4.5,0,0,37.67,0,0,2.67,0,0,2.5,0,2.5,25.83,4,0,0,32.83,24.83,261759
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.97,6.08,0,0,0,0,0,6164
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,67.1,0,0,0,0,54.5,0,0,0,38.75,0,0,0,0,0,37128
1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0.55,0,0,0,0,0,2.12,44.12,0,0,0.1,0,0,2.63,0,0,104.72,0,74951
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,6.63,0,0,0,0,0,0,2064
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.2,131072
1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,3.33,0,0,0,0,0,3.18,0,63.57,0.75,0,0,43.8,0,0,0,65.45,0,86881
1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0.52,0,0,0,0,0,0,37.85,0,0,0,0,0,6.92,0,0,0,0,58503
1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.55,0,0,76.18,0,0,9.97,0,0,0,0,0,15.37,0,0,0,0,0,37979
1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0.67,0,0,0,0,0,13.83,0,0,0,0.5,0,22.83,0,0,0,0,0,21621
1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,2.85,0,0,0,23.22,0,0,1.58,0,2.72,9.67,3.03,52.92,0,0,0,55.48,20.43,253943
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.93,0,0,27.78,0,0.02,0,0,0,0,10498
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.17,0,0,0,0,0,0.17,2.33,0,23.67,0,1.83,15.5,8.83,0,0,66.17,85.33,261879
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,102.8,0,0,1.87,5.2,0,4.78,0,1.35,19.9,9.15,0,0,22.43,54.27,261855
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.25,0,66593
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,1024
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,123.67,0,0,0,0,0,0,2560
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0.27,0,0,0,0,8224
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1.97,0,0,162.25,3.52,0,0,4.03,0,2.4,2.6,0,26.73,3.65,0,0,10.48,0,114687
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,72.93,0,0,0,0,0,0,0,1536
