"replicate_index","method","experimental_design","num_train","num_test","abundance_mae_mean_test","abundance_mae_mean_train","num_losses_mean","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean","abundance_final_skewness_nonzero_mean"
1,"glv_rf","high-2",10,53,0.726182000543399,0.7387378192372,0.1,0.062605541287538,3.13058323109983,2.07305192964057,2.8371166779816,2.38218385891001
2,"glv_rf","high-2",10,53,0.84559398724644,0.722807765306576,0.0666666666666667,0.0558862148992342,3.32244879575975,2.24442455359811,3.32510397761485,2.85680750019422
3,"glv_rf","high-2",10,53,0.686116742350694,0.737477298476033,0.1,0.0566880910363348,3.02427126290794,2.00071127202002,2.78519449242273,2.36709581297103
4,"glv_rf","high-2",10,53,0.686320763198507,0.722049611535798,0.0666666666666667,0.0565608838681504,3.18582124222422,2.12379161567698,3.02092962447235,2.55149489801523
5,"glv_rf","high-2",10,53,0.720937540259619,0.719816176637838,0.133333333333333,0.0593516605157293,3.14250487091986,2.09419912415218,3.19209769217441,2.68776573409401
6,"glv_rf","high-2",10,53,0.713984865842467,0.739280415540878,0.1,0.0548181590438754,2.96783302240822,1.95272128094995,2.04303151660874,1.65870336917079
7,"glv_rf","high-2",10,53,0.704535045604062,0.706001013448433,0.1,0.0577948274646662,3.06522284659962,1.99953854316691,2.80541103124866,2.28959054742691
8,"glv_rf","high-2",10,53,0.703458502344634,0.705353841057631,0.2,0.061637026855671,3.07433609846581,2.02157778123945,2.82457093315854,2.35455730979865
9,"glv_rf","high-2",10,53,0.696668747083873,0.72333969114876,0.133333333333333,0.0548217495269053,2.89166665684867,1.87034292522427,2.61169784957982,2.16007123503175
10,"glv_rf","high-2",10,53,0.697819355263823,0.739453701016433,0.166666666666667,0.05547300650832,3.18539267521822,2.11808541290442,2.29327015749111,1.86710477884387
1,"rf","high-2",10,53,0.00970423097863925,0.00385364731652418,0.2,0.061458110820465,3.03211313615468,1.98201198287477,2.90111074147747,2.3898707218713
2,"rf","high-2",10,53,0.00977302214903746,0.00418100042631473,0.0666666666666667,0.0595381402943138,2.82861984391907,1.83994901069736,2.18388388361128,1.69340752704111
3,"rf","high-2",10,53,0.00942396134293451,0.00362568712233337,0.1,0.0535231494999998,3.44603299792012,2.35621715642817,2.6614510125789,2.19141537698281
4,"rf","high-2",10,53,0.00967027787955233,0.00380626281581719,0.1,0.0510312295764111,3.53176546149578,2.41065997589578,2.49390742616239,2.04624246903332
5,"rf","high-2",10,53,0.0108322434528736,0.00459104505137766,0.233333333333333,0.0536151004641486,3.41893747204017,2.32957057152987,2.93641285774756,2.44821798565975
6,"rf","high-2",10,53,0.00839742379977208,0.004584405327934,0.1,0.0541811653027152,3.19674764219267,2.11500227416782,2.61326335722142,2.06633802251612
7,"rf","high-2",10,53,0.00892517711326724,0.00385676833572097,0.1,0.0551156422420673,3.19570779532226,2.11910055572272,2.61375053835174,2.03965963243772
8,"rf","high-2",10,53,0.00952697189613885,0.00344396088360443,0.166666666666667,0.0558299083564977,3.40018914665616,2.31695369274482,2.26324660915822,1.77731738874091
9,"rf","high-2",10,53,0.0123570163431746,0.00591075023952127,0.133333333333333,0.0604206569577831,3.24467885321361,2.08520085278756,3.34307185160531,2.82673016007103
10,"rf","high-2",10,53,0.00938505056823259,0.00290867187180925,0.1,0.0525825336794975,3.32866556977993,2.23977068022627,2.47481988421139,1.99112068173216
1,"naive","high-2",10,53,0.0100761839579748,0.0132667245500009,0.0333333333333333,0.0617264842547035,2.974983199164,1.93655166695312,2.01017298561215,1.63234094868625
2,"naive","high-2",10,53,0.00991977733450822,0.0113193830466065,0.0666666666666667,0.0561871987591819,3.2807582878837,2.23152026556701,2.57708524143919,2.07143750561373
3,"naive","high-2",10,53,0.00917373104846409,0.0118122930110562,0.166666666666667,0.0528166903184753,3.45326150782742,2.34739213611872,2.19249358802201,1.72963344649478
4,"naive","high-2",10,53,0.00908608433424315,0.0107093637907289,0.0666666666666667,0.054152081415837,3.29713975765888,2.22556436148898,1.69170903206372,1.24530983805188
5,"naive","high-2",10,53,0.0102881695558618,0.0122572441452362,0.233333333333333,0.0577948274646662,3.30965848441278,2.22275572157558,3.21463029977364,2.58149604111988
6,"naive","high-2",10,53,0.00855644648325946,0.0109943925874352,0.133333333333333,0.0525970092099953,3.35590716308269,2.29151752642293,2.52645803340475,2.08018117088084
7,"naive","high-2",10,53,0.00951027606803,0.0114360688115041,0.133333333333333,0.0540126932190583,3.19418212095297,2.13391869080223,3.15613099637626,2.52398743097414
8,"naive","high-2",10,53,0.00955343667328566,0.0145260461711122,0.1,0.0572180764999999,3.12455525737937,2.09467985102763,2.72427431849192,2.32453759216238
9,"naive","high-2",10,53,0.00950328535721048,0.014134374429168,0.166666666666667,0.0545577160363191,3.09825468969601,2.03228672878926,2.34661028152939,1.91376567604708
10,"naive","high-2",10,53,0.00956940662482865,0.0111075576705309,0.166666666666667,0.058608429891035,3.17239127946636,2.12891959672336,2.51307949558962,2.01462638211621
