"replicate_index","method","experimental_design","num_train","num_test","abundance_mae_mean_test","composition_balanced_accuracy_mean_test","richness_mae_test","abundance_mae_mean_train","richness_mae_train","composition_balanced_accuracy_mean_train","num_losses_mean","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean","abundance_final_skewness_nonzero_mean"
1,"glv_rf","high-2",10,32,472097.785375092,0.880876068376068,0.773333333333333,71814.6354403345,1.21174004192872,0.79979035639413,0.511530398322851,471000,1.97834460173454,0.949070556251903,1.5562330749335,0.929894151448792
2,"glv_rf","high-2",10,32,153985.027131245,0.729493114909782,1.20933333333333,76852.2026569127,1.31991525423729,0.804834905660377,0.523305084745763,471000,1.97834460173454,0.949070556251903,1.67093889454856,1.01455291779466
3,"glv_rf","high-2",10,32,178496.674551438,0.790924738841405,0.99,78825.7978884806,1.14345991561181,0.778755868544601,0.546413502109705,471000,1.97834460173454,0.949070556251903,1.58020637393821,1.01552828621359
4,"glv_rf","high-2",10,32,138313.677990495,0.821225071225071,1.02333333333333,75218.3365943709,0.993670886075949,0.889671361502347,0.4957805907173,471000,1.97834460173454,0.949070556251903,1.57557132767596,0.994578395707292
5,"glv_rf","high-2",10,32,719694.011183248,0.824430199430199,0.828,79203.8538469779,0.995771670190275,0.925475687103594,0.494714587737844,471000,1.97834460173454,0.949070556251903,1.55588552866967,1.03582512184006
6,"glv_rf","high-2",10,32,871154.18753244,0.83443138651472,0.75,82694.6882420153,0.922268907563025,0.860397196261682,0.521008403361345,471000,1.97834460173454,0.949070556251903,1.48350508330841,0.980625527064293
7,"glv_rf","high-2",10,32,218711.074672272,0.756558641975309,0.741333333333333,104944.009267265,0.804210526315789,0.839968774395004,0.446315789473684,471000,1.97834460173454,0.949070556251903,1.4095856482739,0.945869382688717
8,"glv_rf","high-2",10,32,124838.140205484,0.770773979107312,0.906,69746.2046912098,1.02547770700637,0.89968152866242,0.522292993630573,471000,1.97834460173454,0.949070556251903,1.71615960658132,1.02017037297687
9,"glv_rf","high-2",10,32,168849.64115289,0.732342117758784,0.814,97182.5414744407,0.800847457627119,0.86228813559322,0.504237288135593,471000,1.97834460173454,0.949070556251903,1.68911434595579,1.10089884235633
10,"glv_rf","high-2",10,32,324852.763592292,0.869509734093067,0.990666666666667,72614.4362558995,1.14315789473684,0.9,0.541052631578947,471000,1.97834460173454,0.949070556251903,1.68004023537215,0.969903184145321
