"replicate_index","method","experimental_design","num_train","num_test","abundance_mae_mean_test","abundance_mae_mean_train","num_losses_mean","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean","abundance_final_skewness_nonzero_mean"
2,"glv_rf","high-1",10,238565,8.16460732888398e+51,1211.38024457246,14.3,4320.91419121939,4.7817491693625,0.800668208482224,3.84811596101075,0.564570161762663
6,"glv_rf","high-1",10,238565,4.69859349444377e+31,1003.80852669775,14.1,4320.91419121939,4.7817491693625,0.800668208482224,3.90529968927884,0.711120629313885
9,"glv_rf","high-1",10,238565,1.25601655400268e+64,1211.39998839106,14.2,4320.91419121939,4.7817491693625,0.800668208482224,3.84811742717884,0.619389792495425
10,"glv_rf","high-1",10,238565,5.37386846416417e+44,1004.49686466203,14.1,4320.91419121939,4.7817491693625,0.800668208482224,3.90530229189723,0.711119930156386
1,"rf","high-1",10,238565,1006.30843220014,180.763721260593,14.1,4320.91419121939,4.7817491693625,0.800668208482224,3.84809764453282,0.671983648440974
2,"rf","high-1",10,238565,1032.27969864507,393.56188142019,14.1,4320.91419121939,4.7817491693625,0.800668208482224,3.90530627517379,0.65883738661414
5,"rf","high-1",10,238565,1031.4598821899,306.23330271073,14.1,4320.91419121939,4.7817491693625,0.800668208482224,3.90530344657257,0.711070348270437
6,"rf","high-1",10,238565,1019.12389349495,180.744591148927,14,4320.91419121939,4.7817491693625,0.800668208482224,3.848098371844,0.671983923941072
7,"rf","high-1",10,238565,1043.8411591107,230.643653503003,14,4320.91419121939,4.7817491693625,0.800668208482224,3.90531047809927,0.711052767433308
1,"naive","high-1",10,238565,1486.5149758029,2399.53885932898,14,4320.91419121939,4.7817491693625,0.800668208482224,3.9053035551414,0.711070128990349
2,"naive","high-1",10,238565,1486.5149758029,2219.27758715998,14.2,4320.91419121939,4.7817491693625,0.800668208482224,3.90531110236379,0.658825667768504
3,"naive","high-1",10,238565,1486.5149758029,2178.56182747297,14.2,4320.91419121939,4.7817491693625,0.800668208482224,3.8481096478475,0.564568172335023
4,"naive","high-1",10,238565,1486.5149758029,2290.73965003761,14,4320.91419121939,4.7817491693625,0.800668208482224,3.90530848678486,0.711059131796491
5,"naive","high-1",10,238565,1486.5149758029,2178.99613966789,14.1,4320.91419121939,4.7817491693625,0.800668208482224,3.84811415454217,0.619388529653908
6,"naive","high-1",10,238565,1486.5149758029,2178.75114471374,14.1,4320.91419121939,4.7817491693625,0.800668208482224,3.84809770589983,0.61938805415637
7,"naive","high-1",10,238565,1486.5149758029,2400.64442447757,14,4320.91419121939,4.7817491693625,0.800668208482224,3.90529876375107,0.711128661689132
8,"naive","high-1",10,238565,1486.5149758029,2399.5115561597,14.2,4320.91419121939,4.7817491693625,0.800668208482224,3.90530410012811,0.658844446590389
9,"naive","high-1",10,238565,1486.5149758029,2179.23873556416,14.2,4320.91419121939,4.7817491693625,0.800668208482224,3.84810506854635,0.564566062656194
10,"naive","high-1",10,238565,1486.5149758029,2399.34688546759,14.1,4320.91419121939,4.7817491693625,0.800668208482224,3.90530623363942,0.711063427573481
1,"glv","high-1",10,238565,1.13951039196452e+43,0.144136743033122,14.1,4320.91419121939,4.7817491693625,0.800668208482224,3.90530379006438,0.711069607140219
4,"glv","high-1",10,238565,5.2706373785842e+44,18.0683515057882,14.1,4320.91419121939,4.7817491693625,0.800668208482224,3.90529952218216,0.711074375155076
