"replicate_index","method","experimental_design","num_train","num_test","abundance_mae_mean_test","composition_balanced_accuracy_mean_test","richness_mae_test","abundance_mae_mean_train","richness_mae_train","composition_balanced_accuracy_mean_train","num_losses_mean","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean","abundance_final_skewness_nonzero_mean"
1,"glv_rf","high-1",10,100,102479063287.672,0.563426587301587,1.02,0.00220139770962306,0.1,0.656565656565657,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.31373709600848,-0.00915269615645858
2,"glv_rf","high-1",10,100,17714438334.1023,0.626709776334776,1.29,5.11798175338557e-05,0.4,0.606060606060606,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.29005578775833,-0.0941073512454974
3,"glv_rf","high-1",10,100,14892508463443.9,0.626875,0.67,0.00402777898014534,0.1,0.656565656565657,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.33190278595695,0.0135017401024831
4,"glv_rf","high-1",10,100,0.960100340759128,0.522189393939394,2.18,0.00562679695465932,1.2,0.585858585858586,6.3,0.590653165531019,1.83483321672817,0.165033218440529,1.27764544861137,-0.0741799020710113
5,"glv_rf","high-1",10,100,10385719333.0357,0.697748015873016,0.71,2.0174052159499e-05,1,0.691919191919192,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.32290678005363,-0.0042990465479656
6,"glv_rf","high-1",10,100,319265043140.285,0.686535714285714,0.7,2.27399775441657e-05,1,0.691919191919192,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.3419215940803,0.0200920199415461
7,"glv_rf","high-1",10,100,3.03947138212014,0.681289682539683,0.8,2.26285634685243e-05,1,0.691919191919192,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.3143534832905,-0.0268778963363116
8,"glv_rf","high-1",10,100,62353537.2748985,0.715436507936508,0.76,4.37051118674665e-09,0.1,0.707070707070707,6.5,0.590653165531019,1.83483321672817,0.165033218440529,1.33657390316512,-0.0191407298524808
9,"glv_rf","high-1",10,100,21134308612.9519,0.736458333333333,0.68,4.36548786460211e-09,0.1,0.707070707070707,6.5,0.590653165531019,1.83483321672817,0.165033218440529,1.33657390316512,-0.0191407298524565
10,"glv_rf","high-1",10,100,3754423790251.4,0.646089285714286,0.94,2.32150267556755e-05,1.1,0.696969696969697,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.31435348329051,-0.026877896336289
