"replicate_index","method","experimental_design","num_train","num_test","abundance_mae_mean_test","composition_balanced_accuracy_mean_test","richness_mae_test","abundance_mae_mean_train","richness_mae_train","composition_balanced_accuracy_mean_train","num_losses_mean","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean","abundance_final_skewness_nonzero_mean"
1,"glv_rf","high-1",10,1792,4447630702903.16,0.633420900948834,0.66015625,0.0973230593897117,0.1,0.65,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
2,"glv_rf","high-1",10,1792,225019207855163,0.649205573290769,0.436383928571429,0.147588976173196,0,0.65,7.1,8.46750955152449,4.04928300086278,1.57400123349361,2.68303359731313,0.677377288894112
3,"glv_rf","high-1",10,1792,3159106665677.94,0.631465593686264,0.653459821428571,0.0971242785167398,0.1,0.65,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
4,"glv_rf","high-1",10,1792,4534463730419840512,0.636865966125743,0.659598214285714,0.0975509627086326,0.1,0.65,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
5,"glv_rf","high-1",10,1792,4534463730419840512,0.636865966125743,0.659598214285714,0.0972593663571695,0.1,0.65,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
6,"glv_rf","high-1",10,1792,3159106665677.94,0.631465593686264,0.653459821428571,0.0971498301081669,0.1,0.65,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
7,"glv_rf","high-1",10,1792,4534463730419840512,0.636865966125743,0.659598214285714,0.0973867524222624,0.1,0.65,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
8,"glv_rf","high-1",10,1792,79771135178428,0.634049392568946,0.655133928571429,0.0975710661593961,0.1,0.65,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
1,"rf","high-1",10,1792,0.988310911291566,0.519765673494724,0.557105289824263,0.891226370618202,0.167604603174604,0.644444444444444,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.71079155567263,0.658088521797645
2,"rf","high-1",10,1792,1.00417844210996,0.52151225946617,0.563526064696712,0.729158859063284,0.197581746031746,0.644444444444444,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
3,"rf","high-1",10,1792,1.00462708798053,0.521236809435133,0.555571564980159,0.729158859063284,0.176630238095238,0.644444444444444,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
4,"rf","high-1",10,1792,0.998233900500522,0.520283541722089,0.553731582164116,0.729158859063284,0.164738015873017,0.644444444444444,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
5,"rf","high-1",10,1792,1.00596319416679,0.520683138245987,0.554978545741213,0.729158859063284,0.175325079365081,0.644444444444444,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
6,"rf","high-1",10,1792,1.0024259905492,0.521721756672874,0.558610202310091,0.729158859063284,0.149389047619048,0.645,7.1,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
7,"rf","high-1",10,1792,1.00522864134329,0.521650261594396,0.556169473674887,0.729158859063284,0.158840000000001,0.644444444444444,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
8,"rf","high-1",10,1792,1.00573350177804,0.522411767314002,0.562393787202381,0.729158859063284,0.170303492063492,0.644444444444444,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
9,"rf","high-1",10,1792,1.00300337177494,0.522278753214507,0.556358938314909,0.729158859063284,0.17112507936508,0.644444444444444,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
10,"rf","high-1",10,1792,0.998568943058213,0.520290192427064,0.558566511656746,0.729158859063284,0.159864365079366,0.645,7.1,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
1,"naive","high-1",10,1792,1.29609176812978,1,2.81584821428571,3.15179506730308,7.2,1,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
2,"naive","high-1",10,1792,1.29609176812978,1,2.81584821428571,3.34191096738941,7.2,1,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
3,"naive","high-1",10,1792,1.29609176812978,1,2.81584821428571,3.29595626267911,7.2,1,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
4,"naive","high-1",10,1792,1.29609176812978,1,2.81584821428571,3.34191096738941,7.2,1,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
5,"naive","high-1",10,1792,1.29609176812978,1,2.81584821428571,3.29595626267911,7.2,1,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
6,"naive","high-1",10,1792,1.29609176812978,1,2.81584821428571,3.34191096738941,7.2,1,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
7,"naive","high-1",10,1792,1.29609176812978,1,2.81584821428571,3.446610685459,7.1,1,7.1,8.46750955152449,4.04928300086278,1.57400123349361,2.68303359731313,0.677377288894112
8,"naive","high-1",10,1792,1.29609176812978,1,2.81584821428571,3.3205176998734,7.2,1,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
9,"naive","high-1",10,1792,1.29609176812978,1,2.81584821428571,3.15179506730308,7.2,1,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
10,"naive","high-1",10,1792,1.29609176812978,1,2.81584821428571,3.29595626267911,7.2,1,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
1,"glv","high-1",10,1792,530681890157900,0.797847721025095,1.46819196428571,0.0898536308008931,3.5,0.822222222222222,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
2,"glv","high-1",10,1792,4.04317187759465e+20,0.746285692116698,1.5078125,0.0898536308008933,4.9,0.883333333333333,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
3,"glv","high-1",10,1792,6.54972584401389e+26,0.779554624456859,1.35546875,0.0741117000347846,3.3,0.811111111111111,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.71079155567263,0.658088521797645
4,"glv","high-1",10,1792,4.04317187759465e+20,0.746285692116698,1.5078125,0.0898536308008933,4.9,0.883333333333333,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
5,"glv","high-1",10,1792,6.54972584401389e+26,0.779554624456859,1.35546875,0.0741117000347846,3.3,0.811111111111111,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.71079155567263,0.658088521797645
6,"glv","high-1",10,1792,7869498957304.45,0.802273654340693,1.51060267857143,0.0898536308008886,4.1,0.844444444444444,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
7,"glv","high-1",10,1792,4534463730419840512,0.831108672519287,1.64229910714286,0.0898536308008853,3.1,0.8,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
8,"glv","high-1",10,1792,225019207855163,0.809402877538352,1.29799107142857,0.0994292199942234,3.6,0.822222222222222,7.1,8.46750955152449,4.04928300086278,1.57400123349361,2.68303359731313,0.677377288894112
9,"glv","high-1",10,1792,4534463730419840512,0.831108672519287,1.64229910714286,0.0898536308008853,3.1,0.8,7.2,8.46750955152449,4.04928300086278,1.57400123349361,2.72239265991851,0.663903006047878
