"Ea.action","Pa.action","Pch.action","Pci.action","Pf.action","Pp.action","Pv.action","Sm.action","environment.initial","Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome","state_idx"
1,0,0,0,0,0,0,0,0,0.12451,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0.13199,0,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,0,0.07866,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,0.0897,0,0,0,0,0,4
0,0,0,1,0,0,0,0,0,0,0,0,0.00493,0,0,0,0,8
0,0,0,1,0,0,0,0,0,0,0,0,0.00378999999999999,0,0,0,0,8
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14184,0,0,32
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.13934,0,0,32
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10323,0,64
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10739,0,64
1,1,0,0,0,0,0,0,0,0.055836,0.130284,0,0,0,0,0,0,3
1,1,0,0,0,0,0,0,0,0.0435788571429,0.0950811428571,0,0,0,0,0,0,3
1,0,0,1,0,0,0,0,0,0.103393333333333,0,0,0.0516966666666667,0,0,0,0,9
1,0,0,1,0,0,0,0,0,0.121701418439716,0,0,0.0481985815602837,0,0,0,0,9
1,0,0,0,0,0,0,1,0,0.12793,0,0,0,0,0,0,0,129
1,0,0,0,0,0,0,1,0,0.120278796992481,0,0,0,0,0,0,0.000911203007518797,129
0,1,0,0,1,0,0,0,0,0,0.0295087719298,0,0,0.0377712280702,0,0,0,18
0,1,0,0,1,0,0,0,0,0,0.0331168627451,0,0,0.0318431372549,0,0,0,18
0,1,0,0,0,1,0,0,0,0,0.0468424358974,0,0,0,0.0791475641026,0,0,34
0,1,0,0,0,1,0,0,0,0,0.045038,0,0,0,0.083642,0,0,34
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.14014,0,0,40
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.13096,0,0,40
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.10751,0,72
0,0,0,1,0,0,1,0,0,0,0,0,0.001752,0,0,0.103368,0,72
0,0,0,1,0,0,0,1,0,0,0,0,0.0469170860927152,0,0,0,0.0893229139072848,136
0,0,0,1,0,0,0,1,0,0,0,0,0.0612820143884892,0,0,0,0.0806879856115108,136
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.14646,0,0,96
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.13332,0,0,96
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0796911111111111,0.0576488888888889,192
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.107601012658228,0.0252189873417722,192
1,1,1,0,0,0,0,0,0,0.046928372093,0,0.121231627907,0,0,0,0,0,7
1,1,1,0,0,0,0,0,0,0.0542572277228,0,0.111802772277,0,0,0,0,0,7
1,1,0,0,0,1,0,0,0,0.00271606299213,0.0353088188976,0,0,0,0.0769551181102,0,0,35
1,1,0,0,0,1,0,0,0,0.00112104347826,0.0347523478261,0,0,0,0.0930466086957,0,0,35
1,0,1,0,0,0,0,1,0,0.0578008421052632,0,0.0947291578947368,0,0,0,0,0,133
1,0,1,0,0,0,0,1,0,0.0525013861386139,0,0.103458613861386,0,0,0,0,0,133
1,0,0,1,0,0,1,0,0,0.00763636363636364,0,0,0,0,0,0.109963636363636,0,73
1,0,0,1,0,0,1,0,0,0.0380542528735632,0,0,0,0,0,0.0801857471264368,0,73
1,0,0,0,0,1,0,1,0,0.0338622099447514,0,0,0,0,0.111261546961326,0,0.000806243093922652,161
1,0,0,0,0,1,0,1,0,0.0152065040650407,0,0,0,0,0.101693495934959,0,0,161
0,1,0,1,0,0,1,0,0,0,0.10044047619,0,0,0,0,0.0913095238095,0,74
0,1,0,1,0,0,1,0,0,0,0.0916158,0,0.0017286,0,0,0.0795156,0,74
