"Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome"
0.12323,0,0,0,0,0,0,0
0.13199,0,0,0,0,0,0,0
0,0.07353,0,0,0,0,0,0
0,0.07209,0,0,0,0,0,0
0,0,0,0.00260999999999999,0,0,0,0
0,0,0,0.00307,0,0,0,0
0,0,0,0,0,0,0.10036,0
0,0,0,0,0,0,0.10438,0
0,0,0,0,0,0,0,0.14208
0,0,0,0,0,0,0,0.14385
0,0,0.0877804878049,0,0.00877804878049,0,0.0403790243902,0.00702243902439
0,0,0.0763257142857,0,0.00346935064935,0.0294894805195,0.0208161038961,0.00346935064935
0,0,0.100977407407,0,0,0,0.0376525925926,0
0.0192676271186,0,0.0599437288136,0,0.0192676271186,0.0256901694915,0.00214084745763,0
0,0,0.101471282051,0,0,0,0.0705887179487,0
0,0,0.0745637837838,0,0,0,0.0787062162162,0
0,0,0.0747138461538,0,0,0,0.0871661538462,0
0,0,0.0833505882353,0,0.00208376470588,0,0.0916856470588,0
0,0,0.117548630137,0,0.00261219178082,0,0.0705291780822,0
0,0,0.103753157895,0,0,0,0.0754568421053,0
