"Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome"
0.12323,0,0,0,0,0,0,0
0.13306,0,0,0,0,0,0,0
0,0.0711,0,0,0,0,0,0
0,0.07353,0,0,0,0,0,0
0,0,0,0.00319999999999999,0,0,0,0
0,0,0,0.00335,0,0,0,0
0.00521788732394366,0,0,0,0,0,0.118272112676056,0
0.00549066666666667,0,0,0,0,0,0.0974593333333333,0
0,0,0.08931,0,0,0,0,0
0,0,0.0772,0,0,0,0,0
0,0.0968484269663,0,0,0,0,0.0721615730337,0
0,0.0793757017544,0,0,0,0,0.0739942982456,0
0,0,0.0825897752808989,0,0,0,0,0.0674202247191011
0,0,0.0774187826086956,0,0,0,0,0.0639012173913043
0,0,0,0.0612820143884892,0,0,0,0.0806879856115108
0,0,0,0.054321213592233,0,0,0,0.098968786407767
0,0,0,0,0.0511546153846154,0,0.0966253846153846,0
0,0,0,0,0.0463872413793103,0,0.10308275862069,0
0,0,0,0,0,0,0.0888036974789916,0.0600363025210084
0,0,0,0,0,0,0.0796911111111111,0.0576488888888889
