"Ea.action","Pa.action","Pch.action","Pci.action","Pf.action","Pp.action","Pv.action","Sm.action","environment.initial","Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome","state_idx"
0,0,0,0,1,0,0,0,0,0,0,0,0,0.05925,0,0,0,16
0,0,0,0,1,0,0,0,0,0,0,0,0,0.0602,0,0,0,16
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14184,0,0,32
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14085,0,0,32
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10739,0,64
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.10337,0,64
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14588,128
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.14385,128
1,0,0,1,0,0,0,0,0,0.103393333333333,0,0,0.0516966666666667,0,0,0,0,9
1,0,0,1,0,0,0,0,0,0.121701418439716,0,0,0.0481985815602837,0,0,0,0,9
1,0,0,0,0,1,0,0,0,0.00236316666666667,0,0,0,0,0.139426833333333,0,0,33
1,0,0,0,0,1,0,0,0,0.00738848484848485,0,0,0,0,0.114521515151515,0,0,33
0,1,1,0,0,0,0,0,0,0,0,0.08931,0,0,0,0,0,6
0,1,1,0,0,0,0,0,0,0,0,0.0772,0,0,0,0,0,6
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.10751,0,72
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.1019,0,72
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.13332,0,0,96
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.138743370786517,0.00157662921348315,0,96
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0888036974789916,0.0600363025210084,192
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.107601012658228,0.0252189873417722,192
