"Ea.action","Pa.action","Pch.action","Pci.action","Pf.action","Pp.action","Pv.action","Sm.action","environment.initial","Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome","state_idx"
0,1,0,0,0,0,0,0,0,0,0.07266,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,0,0,0.0711,0,0,0,0,0,0,2
1,0,0,1,0,0,0,0,0,0.121701418439716,0,0,0.0481985815602837,0,0,0,0,9
1,0,0,1,0,0,0,0,0,0.103393333333333,0,0,0.0516966666666667,0,0,0,0,9
0,1,0,0,0,0,1,0,0,0,0.0793757017544,0,0,0,0,0.0739942982456,0,66
0,1,0,0,0,0,1,0,0,0,0.0968484269663,0,0,0,0,0.0721615730337,0,66
0,0,1,0,0,0,1,0,0,0,0,0.0951328767123288,0,0,0,0.0702171232876712,0,68
0,0,1,0,0,0,1,0,0,0,0,0.106064634146341,0,0,0,0.0580353658536585,0,68
1,0,0,0,1,0,0,1,0,0.0610232926829268,0,0,0,0.0553467073170732,0,0,0,145
1,0,0,0,1,0,0,1,0,0.0610948,0,0,0,0.0563952,0,0,0,145
0,1,1,1,0,0,0,0,0,0,0,0.08935,0,0,0,0,0,14
0,1,1,1,0,0,0,0,0,0,0,0.08109,0,0,0,0,0,14
0,1,0,0,1,1,0,0,0,0,0,0,0,0.0480181818182,0.0909818181818,0,0,50
0,1,0,0,1,1,0,0,0,0,0.00224841269841,0,0,0.0719492063492,0.0674523809524,0,0,50
0,0,1,1,0,1,0,0,0,0,0,0.0984295061728395,0,0,0.0520004938271605,0,0,44
0,0,1,1,0,1,0,0,0,0,0,0.0946973846153846,0,0,0.0554326153846154,0,0,44
0,0,1,1,0,0,1,0,0,0,0,0.0825531707317073,0,0,0,0.0646068292682927,0,76
0,0,1,1,0,0,1,0,0,0,0,0.0855481690140845,0,0,0,0.0742918309859155,0,76
0,0,1,0,1,1,0,0,0,0,0,0.0823663492063492,0,0,0.0702536507936508,0,0,52
0,0,1,0,1,1,0,0,0,0,0,0.0477415254237288,0,0.0376906779661017,0.0628177966101695,0,0,52
