"a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star"
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,80,180.5,40
0,0,0,0,0,0,80,180.5,40
0,0,0,0,0,0,80,180.5,40
0,0,0,0,257.5,0,0,0,0
0,0,0,0,257.5,0,0,0,0
0,0,0,0,257.5,0,0,0,0
0,0,0,0,257.5,0,0,0,80
0,0,0,0,257.5,0,0,0,80
0,0,0,0,257.5,0,0,0,80
0,0,0,0,257.5,0,0,18.5,8
0,0,0,0,257.5,0,0,18.5,8
0,0,0,0,257.5,0,0,18.5,8
0,0,0,0,257.5,2.5,80,0,0
0,0,0,0,257.5,2.5,80,0,0
0,0,0,0,257.5,2.5,80,0,0
0,0,0,257.5,0,0,0,40,0
0,0,0,257.5,0,0,0,40,0
0,0,0,257.5,0,0,0,40,0
0,0,0,257.5,0,0,0,0,0
0,0,0,257.5,0,0,0,0,0
0,0,0,257.5,0,0,0,0,0
0,0,0,257.5,0,0,0,40,0
0,0,0,257.5,0,0,0,40,0
0,0,0,257.5,0,0,0,40,0
0,0,0,80,80,0,0,18.5,0
0,0,0,80,80,0,0,18.5,0
0,0,0,80,80,0,0,18.5,0
0,0,0,129,80,0,0,0,0
0,0,0,129,80,0,0,0,0
0,0,0,129,80,0,0,0,0
0,0,0,80,80,0,0,40,0
0,0,0,80,80,0,0,40,0
0,0,0,80,80,0,0,40,0
0,0,0,129,80,0,2.5,0,0
0,0,0,129,80,0,2.5,0,0
0,0,0,129,80,0,2.5,0,0
0,0,129,0,0,0,0,80,8
0,0,129,0,0,0,0,80,8
0,0,129,0,0,0,0,80,8
0,0,257.5,0,0,0,40,0,18.5
0,0,257.5,0,0,0,40,0,18.5
0,0,257.5,0,0,0,40,0,18.5
0,0,80,0,257.5,0,0,0,0
0,0,8,0,257.5,0,0,40,8
0,0,8,0,257.5,0,0,40,8
0,0,8,0,257.5,0,0,40,8
0,0,80,0,180.5,0,8,0,0
0,0,80,0,180.5,0,8,0,0
0,0,80,0,180.5,0,8,0,0
0,0,40,0,180.5,0,8,0,18.5
0,0,40,0,180.5,0,8,0,18.5
0,0,40,0,180.5,0,8,0,18.5
0,0,40,0,180.5,0,2.5,0,0
0,0,40,0,180.5,0,2.5,0,0
0,0,40,0,180.5,0,8,18.5,0
0,0,40,0,180.5,0,8,18.5,0
0,0,40,0,180.5,0,8,18.5,0
0,0,40,180.5,0,0,8,0,0
0,0,40,180.5,0,0,8,0,0
0,0,40,180.5,0,0,8,0,0
0,0,40,180.5,0,0,0,0,0
0,0,40,180.5,0,0,0,0,0
0,0,40,180.5,0,0,0,0,0
0,0,8,80,80,0,0,0,0
0,0,8,80,80,0,0,0,0
0,0,8,80,80,0,0,0,0
0,0,18.5,129,129,0,0,0,0
0,0,18.5,129,129,0,0,0,0
0,0,18.5,129,129,0,0,0,0
0,0,18.5,129,129,0,0,8,0
0,0,18.5,129,129,0,0,8,0
0,0,18.5,129,129,0,0,8,0
0,0,0,80,80,0,0,0,0
0,0,0,80,80,0,0,0,0
0,0,0,80,80,0,0,0,0
0,2.5,0,0,0,0,257.5,0,0
0,0,0,0,0,0,0,257.5,8
0,0,0,0,0,0,0,257.5,8
0,0,0,0,0,0,129,129,0
0,0,0,0,0,0,129,129,0
0,0,0,0,0,0,129,129,0
0,0,0,0,257.5,0,0,0,40
0,0,0,0,257.5,0,0,0,40
0,0,0,0,257.5,0,0,0,40
0,0,0,0,180.5,0,0,80,0
0,0,0,0,180.5,0,0,80,0
0,0,0,0,180.5,0,0,80,0
0,0,0,0,257.5,0,18.5,80,0
0,0,0,0,257.5,0,18.5,80,0
0,0,0,0,257.5,0,18.5,80,0
0,0,0,0,180.5,0,8,0,18.5
0,0,0,0,180.5,0,8,0,18.5
0,0,0,0,257.5,0,18.5,80,0
0,0,0,0,257.5,0,18.5,80,0
0,0,0,0,257.5,0,18.5,80,0
0,0,0,257.5,0,0,0,0,0
0,0,0,257.5,0,0,0,0,0
0,0,0,257.5,0,0,0,0,0
0,0,0,257.5,0,0,0,18.5,0
0,0,0,257.5,0,0,0,18.5,0
0,0,0,257.5,0,0,0,18.5,0
0,0,0,129,80,0,0,0,0
0,0,0,129,80,0,0,0,0
0,0,0,129,80,0,0,0,0
0,0,0,129,80,0,0,0,0
0,0,0,129,80,0,0,0,0
0,0,0,129,80,0,0,0,0
0,0,0,80,80,0,0,8,0
0,0,0,80,80,0,0,8,0
0,0,0,80,80,0,0,8,0
0,0,180.5,0,0,0,18.5,40,0
0,0,180.5,0,0,0,18.5,40,0
0,0,180.5,0,0,0,18.5,40,0
0,2.5,257.5,0,0,0,8,0,0
0,2.5,257.5,0,0,0,8,0,0
0,2.5,257.5,0,0,0,8,0,0
0,0,180.5,0,0,0,18.5,0,18.5
0,0,180.5,0,0,0,18.5,0,18.5
0,0,180.5,0,0,0,18.5,0,18.5
0,0,40,0,257.5,0,8,40,2.5
0,0,40,0,257.5,0,8,40,2.5
0,0,40,0,257.5,0,8,40,2.5
0,0,8,180.5,0,0,0,8,0
0,0,8,180.5,0,0,0,8,0
0,0,8,180.5,0,0,0,8,0
0,0,18.5,129,80,0,0,0,0
0,0,18.5,129,80,0,0,0,0
0,0,18.5,129,80,0,0,0,0
0,0,18.5,129,80,0,0,0,0
0,0,18.5,129,80,0,0,0,0
0,0,18.5,129,129,0,0,0,0
0,0,18.5,129,129,0,0,0,0
0,0,18.5,129,129,0,0,0,0
180.5,0,0,0,0,0,0,0,0
180.5,0,0,0,0,0,0,0,0
180.5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,180.5,0
0,0,0,0,0,0,0,180.5,0
40,0,0,0,0,257.5,0,0,0
40,0,0,0,0,257.5,0,0,0
40,0,0,0,0,257.5,0,0,0
0,0,0,0,0,80,0,0,257.5
0,0,0,0,0,80,0,0,257.5
0,0,0,0,0,8,0,257.5,0
0,0,0,0,0,8,0,257.5,0
0,0,0,0,180.5,0,0,80,0
0,0,0,0,180.5,0,0,80,0
0,0,0,0,257.5,0,0,0,40
0,0,0,0,257.5,0,18.5,40,2.5
0,0,0,0,257.5,0,18.5,40,2.5
0,0,0,257.5,0,0,40,8,0
0,0,0,257.5,0,0,40,8,0
0,0,0,257.5,0,0,40,8,0
0,0,0,257.5,0,0,40,0,0
0,0,0,257.5,0,0,40,0,0
0,0,0,257.5,0,0,40,0,0
0,0,0,129,80,0,0,2.5,0
0,0,0,129,80,0,0,2.5,0
0,0,0,129,80,0,0,2.5,0
2.5,0,180.5,0,0,0,0,0,0
2.5,0,180.5,0,0,0,0,0,0
2.5,0,180.5,0,0,0,0,0,0
0,0,257.5,0,0,0,0,80,0
0,0,257.5,0,0,0,0,80,0
0,0,257.5,0,0,0,0,80,0
0,0,129,0,0,0,0,80,8
0,0,129,0,0,0,0,80,8
0,0,129,0,0,0,0,80,8
0,0,129,0,0,0,18.5,40,8
0,0,129,0,0,0,18.5,40,8
0,0,129,0,0,0,18.5,40,8
2.5,0,257.5,0,0,0,0,0,0
2.5,0,257.5,0,0,0,0,0,0
2.5,0,257.5,0,0,0,0,0,0
0,0,257.5,0,0,0,18.5,80,0
0,0,257.5,0,0,0,18.5,80,0
0,0,257.5,0,0,0,18.5,80,0
0,0,129,0,257.5,0,0,0,8
0,0,129,0,257.5,0,0,0,8
0,0,129,0,257.5,0,0,0,8
0,0,0,129,129,0,0,0,0
0,0,0,129,129,0,0,0,0
0,0,0,129,129,0,0,0,0
0,0,8,180.5,80,0,0,0,0
0,0,8,180.5,80,0,0,0,0
0,0,8,180.5,80,0,0,0,0
0,0,8,129,80,0,0,0,0
0,0,8,129,80,0,0,0,0
0,0,8,129,80,0,0,0,0
180.5,40,0,0,0,0,0,0,0
180.5,40,0,0,0,0,0,0,0
180.5,40,0,0,0,0,0,0,0
0,0,0,0,0,0,0,257.5,0
0,0,0,0,0,0,0,257.5,0
0,0,0,0,0,0,180.5,0,40
0,0,0,0,0,0,180.5,0,40
0,0,0,0,0,0,180.5,0,40
40,0,0,0,0,129,0,0,0
40,0,0,0,0,129,0,0,0
40,0,0,0,0,129,0,0,0
0,0,0,0,0,0,0,257.5,0
0,0,0,0,0,0,0,257.5,0
0,0,0,0,0,0,0,257.5,0
0,0,0,0,0,0,40,129,18.5
0,0,0,0,0,0,40,129,18.5
0,0,0,0,0,0,40,129,18.5
2.5,0,0,0,180.5,0,0,40,0
0,0,0,0,257.5,0,80,0,0
0,0,0,0,257.5,0,80,0,0
0,0,0,0,257.5,0,80,0,0
0,0,0,0,257.5,0,18.5,40,18.5
0,0,0,0,257.5,0,18.5,40,18.5
0,0,0,180.5,0,0,0,18.5,0
0,0,0,180.5,0,0,0,18.5,0
0,0,0,180.5,0,0,0,18.5,0
0,0,0,129,0,0,0,0,2.5
0,0,0,129,0,0,0,0,2.5
0,0,0,129,0,0,0,0,2.5
0,0,0,129,80,0,0,18.5,0
0,0,0,129,80,0,0,18.5,0
0,0,0,129,80,0,0,18.5,0
2.5,0,257.5,0,0,0,0,0,0
2.5,0,257.5,0,0,0,0,0,0
2.5,0,257.5,0,0,0,0,0,0
0,0,18.5,0,257.5,0,0,40,0
0,0,18.5,0,257.5,0,0,40,0
0,0,18.5,0,257.5,0,0,40,0
0,0,8,257.5,0,0,0,18.5,0
0,0,8,257.5,0,0,0,18.5,0
0,0,8,257.5,0,0,0,18.5,0
0,0,40,180.5,0,0,0,0,0
0,0,40,180.5,0,0,0,0,0
0,0,40,180.5,0,0,0,0,0
0,0,40,180.5,0,0,0,8,0
0,0,40,180.5,0,0,0,8,0
0,0,40,180.5,0,0,0,8,0
0,0,0,129,129,0,0,0,0
0,0,0,129,129,0,0,0,0
0,0,0,129,129,0,0,0,0
0,0,0,80,80,0,0,2.5,0
0,0,0,80,80,0,0,2.5,0
0,0,0,80,80,0,0,2.5,0
0,0,8,129,80,0,0,0,0
0,0,8,129,80,0,0,0,0
0,0,8,129,80,0,0,0,0
