"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0.0191630142001754,0,0,0,0
0,0.0611929148822039,0,0,0,0
0,0.032192839186764,0,0,0,0
0,0.0122293698196163,0.00112388395664267,0,0,0
0,0.0317244029636638,0.00603900486377453,0,0,0
0,0.0443049941040109,0.00519034310588137,0,0,0
0,0.0175611640754944,0,0,0.0159980769168731,0
0,0.00292180717746815,0,0,2.49473014087845e-05,0
0,0.00696081681240187,0,0,0.00367134919020502,0
0,0.00941048805390828,0,0,0,0.0453026844901405
0,0.00686168074581111,0,0,0,0.0462114798733321
0,0.0357467809357739,0,0,0,0.0677057889586024
0,0,0.00103125698017405,0.083775293250224,0,0
0,0,0.00246470979856546,0.0421694007290171,0,0
0,0,0.000763235287116928,0.146654591442384,0,0
0,0,0.00229986453553742,0,0,0.058523562599993
0,0,0.000909185270659582,0,0,0.0512476333449836
0,0,0.000243899586682576,0,0,0.0324769742602407
0,0,0,9.08867281198305e-06,0.0369033358894151,0
0,0,0,0.00647682989848427,0.0343553536846499,0
0,0,0,0.000718132472321432,0.00204855968777172,0
0,0,0,0,0.00889499205826755,0.0172756480662651
0,0,0,0,0.00870854471773687,0.0111905395965622
0,0,0,0,0.0630603494277851,0.0442759828584504
0.0009367771,0,0,0,0.0172471,0
2.517174e-05,0,0,0,0.01739509,0
8.467864e-05,0,0,0,0.03460423,0
0.0008294614,0,0,0,0,0.02022826
7.041128e-05,0,0,0,0,0.1093409
0.0001105756,0,0,0,0,0.01443219
