"Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome"
0,0.0167256963961109,0,0.00384127518989343,0,0
0,0.0636931765992798,0,0.0290322480597668,0,0
0,0.0493803951059207,0,0.035108790137522,0,0
0,0.00941048805390828,0,0,0,0.0453026844901405
0,0.00409730148498741,0,0,0,0.0960549673119743
0,0.0691665026205542,0,0,0,0.0263021076707307
0,0,0.00818461607813202,0,0,0
0,0,0.0137694090843705,0,0,0
0,0,0.0114425863912732,0,0,0
0,0,0.00948556067622797,0.133635534636727,0,0
0,0,0.000763235287116928,0.146654591442384,0,0
0,0,0.00103125698017405,0.083775293250224,0,0
0,0,0.000803446415495957,0,0.018332787855455,0
0,0,0.000410072925137987,0,0.00818347680870203,0
0,0,0.00962954546807663,0,0.0400431659793731,0
0,0,0,0.0558908761144349,0,0.0721051881161904
0,0,0,0.0132243322654877,0,0.0170091729193597
0,0,0,0.0305996831366136,0,0.0262950017384991
0,0,0,0,0,0.0764364168054457
0,0,0,0,0,0.0634640154464081
0,0,0,0,0,0
0.003935869,0,0,0.08003649,0,0
0.0002000959,0,0,0.1273276,0,0
0.0001494463,0,0,0.06282404,0,0
0.0001081357,0,0,0,0.0123445,0
2.517174e-05,0,0,0,0.01739509,0
0.0002576882,0,0,0,0.02855066,0
7.041128e-05,0,0,0,0,0.1093409
0.0001105756,0,0,0,0,0.01443219
0.0004067481,0,0,0,0,0.01801862
