"Tetra.action","Colp.action","Dexio.action","Loxo.action","Para.action","Spiro.action","temperature.initial","Tetra.outcome","Colp.outcome","Dexio.outcome","Loxo.outcome","Para.outcome","Spiro.outcome","state_idx"
0,1,0,0,0,0,23,0,0.00790031132944143,0,0,0,0,2
0,1,0,0,0,0,23,0,0.00820834507922529,0,0,0,0,2
0,1,0,0,0,0,19,0,0.0333455026137409,0,0,0,0,2
0,1,1,1,1,1,15,0,0.0248171381852983,0.000738320797266174,0.02167787606159,0.0913748257070839,0.0290879437599107,62
0,1,1,1,1,1,17,0,0.013533689390483,6.27638460905893e-05,0.00737199030727512,0.0615898018555655,0.0390396868005266,62
0,1,1,1,1,1,21,0,0.00815335280964001,7.72471097731757e-05,0.00647805446704326,0.0213426068104243,0.0289426545417243,62
0,0,0,1,0,0,19,0,0,0,0.0327935507123055,0,0,8
0,0,0,1,0,0,23,0,0,0,0.00532068630329041,0,0,8
0,0,0,1,0,0,17,0,0,0,0.0525838135255231,0,0,8
0,0,0,0,1,0,19,0,0,0,0,0,0,16
0,0,0,0,1,0,17,0,0,0,0,0.00400945357383832,0,16
0,0,0,0,1,0,19,0,0,0,0,0,0,16
0,0,0,0,0,1,21,0,0,0,0,0,0.0728855729552618,32
0,0,0,0,0,1,15,0,0,0,0,0,0.0213950032668794,32
0,0,0,0,0,1,25,0,0,0,0,0,0,32
1,0,0,0,0,0,25,0,0,0,0,0,0,1
1,0,0,0,0,0,21,0.00280198731608837,0,0,0,0,0,1
1,0,0,0,0,0,25,0.00155082891053399,0,0,0,0,0,1
1,1,1,1,1,0,15,0.00228616865606087,0.0177670559127105,0,0.0170313750795314,0.130195702913983,0,31
1,1,1,1,1,0,21,0.000952087777171271,0.0100343470049616,0.000303184556586473,0.00115754855466239,0.0133026143935928,0,31
1,1,1,1,1,0,19,7.63388230125119e-05,0.0141706918014936,0.000449710946479898,0.00186952670812056,0.017187641229503,0,31
1,1,1,0,1,1,23,0.004406538,0.006608934,0.0003252092,0,0.01997957,0.01957676,55
1,1,1,0,1,1,25,0.0002992666,0.002655509,0.0006696954,0,0.01180446,0.05308689,55
1,1,1,0,1,1,15,0.0008959776,0.02516747,0.0001971981,0,0.03298246,0.01774345,55
1,1,0,1,1,1,17,0.0005097532,0.04777189,0,0.01360093,0.05133895,0.04133877,59
1,1,0,1,1,1,23,0.0002209625,0.01137178,0,0.007756845,0.003819981,0.0004911892,59
1,1,0,1,1,1,19,0.005016437,0.01374985,0,0.01405621,0.02117096,0,59
1,0,1,1,1,1,25,0.005207087,0,0.006875664,0.05460668,0.02259756,0.03060802,61
1,0,1,1,1,1,15,0.003647391,0,0.001196948,0.00722425,0.08692114,0.030988,61
1,0,1,1,1,1,17,0.0003885288,0,0.000353607,0.01181417,0.04267814,0.03837516,61
