"BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome"
0,0.650906117999729,0,0,0,0,0,0,0,0,0,0
0,0,0.659424285871844,0,0,0,0,0,0,0,0,0
0,0,0.659424285871842,0,0,0,0,0,0,0,0,0
0,0,0,0.663448432530669,0,0,0,0,0,0,0,0
0.269028295678878,0,0,0.593930103058899,0,0,0,0,0,0,0,0
0,0,0,0.663448432530667,0,0,0,0,0,0,0,0
0,0,0.272741820378685,0.429926415036968,0,0,0,0,0,0,0,0
0.362233577550042,0,0,0,0.622141844876497,0,0,0,0,0,0,0
0,0,0.659424285871842,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.345527057690986,0,0,0,0,0
0,0,0,0,0,0.185100435175948,0.385212346618897,0,0,0,0,0
0,0.599740071035871,0,0,0,0,0,0.185161547666534,0,0,0,0
0,0,0,0,0.688194252964562,0,0,0.126855819972209,0,0,0,0
0,0,0,0,0,0,0.345527057690985,0,0,0,0,0
0,0,0,0,0,0,0,0,0.16467360144156,0,0,0
0.416951067690223,0,0,0,0,0,0,0,0.19479489243204,0,0,0
0,0.562402955639254,0,0,0,0,0,0,0.569259166138059,0,0,0
0,0,0,0,0,0,0,0.128498861236366,0.173914489324722,0,0,0
0,0,0.659424285871844,0,0,0,0,0,0,0,0,0
0,0,0,0,0.687691655247155,0,0,0,0,0.12262888626525,0,0
0,0,0,0,0,0,0.34741518088368,0,0,0.00253484261061349,0,0
0,0,0,0,0,0,0,0,0.15771803556895,0.12262888626525,0,0
0,0,0,0,0,0,0,0,0,0,0.21113465613562,0
0,0,0.659424285871842,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.297225572979494,0,0,0,0,0,0
0,0,0,0,0,0,0.35689141855611,0,0,0,0.0368828163493632,0
0,0,0,0,0,0,0,0,0,0,0,0.382017050024129
0,0.513173850066241,0,0,0,0,0,0,0,0,0,0.382017050024129
0,0,0,0,0.576394059436308,0,0,0,0,0,0,0.382017050024129
0,0,0,0,0,0.14491853961739,0,0,0,0,0,0.225629969044131
0,0,0,0,0,0,0,0,0,0,0,0.382017050024129
0,0,0,0,0,0,0,0,0,0,0.0829354797166899,0.328389797577433
