"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","state_idx"
1,1,1,1,1,1,1,1,1,1,0,0,0,0.754208561399605,0,0,0.0556355403462179,0.467051221025449,0,0.15263560245337,0,0.546776674598609,0,0,0,1023
1,1,0,1,1,1,1,1,1,1,1,0,0,0.754208561399569,0,0,0.0556355403461472,0.467051221025526,0,0.152635602453373,0,0.546776674598549,0,0,0,2043
1,1,1,0,1,1,1,1,1,1,0,1,0,0.725201214065991,0,0,0,0.522942247997359,0,0.155264608775061,0,0.497551351688232,0,0,0,3063
1,1,1,1,1,1,1,0,1,0,1,1,0,0.754208561399592,0,0,0.0556355403461918,0.467051221025478,0,0.152635602453371,0,0.546776674598587,0,0,0,3455
1,1,1,1,1,1,1,0,0,1,1,1,0,0.335851588538069,0,0,0.236058144339668,0.44604303388734,0,0.261501353083417,0,0,0,0,0,3711
1,1,1,1,1,1,0,1,0,1,1,1,0,0.312242083840734,0,0.0400276472666166,0.314393618979796,0.288460699579429,0,0,0,0,0,0,0.116538851365173,3775
1,1,1,1,0,1,1,0,1,1,1,1,0,0.789044319253964,0,0,0.333530348683293,0,0,0.171869611935017,0,0.684792909150441,0,0,0,3951
1,0,1,1,1,1,0,1,1,1,1,1,0,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,4029
1,1,1,0,0,1,1,1,1,1,1,1,0,0.61490499856958,5.17903792535329e-05,0.262840146097496,0,0,0,0.182836916059243,0,0.455474123058965,0,0,0,4071
0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.158321332094591,0.531011468208669,0,0.339471612938821,0,0.670008350473088,0.0052248196138428,0,0,4094
