"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","state_idx"
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.455610365981246,0.313484039386861,0,0,0,0,0,0,0,24
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.455610365981246,0.313484039386861,0,0,0,0,0,0,0,26
1,0,1,0,1,0,0,1,0,0,0,0,0,0.269028305652395,0,0.578778052032455,0,6.26090267165868e-08,0,0,2.62409426586299e-08,0,0,0,0,149
1,1,0,1,1,1,0,1,0,0,0,0,0,0.318037733340555,0,0,0.364376436020598,0.327136202488416,0,0,0,0,0,0,0,187
1,1,1,0,0,1,1,0,1,0,0,0,0,0.614904886541246,5.11462828075019e-05,0.262840494504586,0,0,0,0.182837152420919,0,0.455473977239069,0,0,0,359
1,0,0,1,1,1,0,1,1,0,0,0,0,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,441
0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0.288420642632897,0.390159185572882,0,0,0,0.764878314899644,0.12262888626525,0,0,792
1,0,1,1,0,0,1,0,1,1,0,0,0,0.789044319253964,0,0,0.333530348683293,0,0,0.171869611935017,0,0.684792909150441,0,0,0,845
1,1,0,0,1,0,0,1,1,1,0,0,0,0.719509517401478,2.90224802423609e-10,0,0,0.51532763391572,0,0,0,0.491558381243779,0,0,0,915
1,1,0,1,1,1,0,1,1,1,0,0,0,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,955
0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0.672991912387597,0,0.33015871798167,0,0.52643973521794,0.0084441369528075,0,0,1008
1,0,0,1,0,0,0,0,1,0,1,0,0,0.810092396239883,0,0,0.353681770766745,0,0,0,0,0.712510466336691,0,0,0,1289
0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0.196314777453001,0.366646303294166,0,0.306606495780453,0,0.185161547666534,0,0.00867204993991299,0,0,1708
1,1,0,1,1,0,1,0,1,1,1,0,0,0.75420856139957,0,0,0.0556355403461484,0.467051221025525,0,0.152635602453373,0,0.54677667459855,0,0,0,1883
1,1,0,0,0,0,1,1,1,1,1,0,0,0.619995116997151,0.350268050672631,0,0,0,0,0.0751666254709726,0,0.462177278564418,0,0,0,1987
1,0,0,0,0,1,0,0,0,0,0,1,0,0.352095290900256,0,0,0,0,0.167345307651026,0,0,0,0,0,0,2081
1,0,0,0,0,1,1,0,0,0,0,1,0,0.316635212877443,0,0,0,0,0.0959080581123554,0.290365402929697,0,0,0,0,0,2145
0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0.296007405232136,0.388115804125127,0,0,0,0.781240012617164,0,0,0,2328
0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0.535934623446373,0,0,0,0,0,0.663317991239174,0,0,0,2470
1,1,0,0,1,0,0,0,0,1,0,1,0,0.339973668030692,0.159519210714864,0,0,0.47355776361922,0,0,0,0,0,0,0.0929546711902478,2579
0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0.292388488066259,0.469824852067768,0,0.345854016178758,0,0,0.00303064928752467,0,0,2650
1,1,0,1,1,0,1,1,0,1,0,1,0,0.335851588538069,0,0,0.236058144339668,0.44604303388734,0,0.261501353083417,0,0,0,0,0,2779
1,1,0,1,0,1,1,0,1,1,0,1,0,0.789044319253965,0,0,0.333530348683293,0,0,0.171869611935016,0,0.684792909150441,0,0,0,2923
0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0.342255473177365,0,0,0,0.325193651321926,0,0.486297951420365,0,0,0,3044
1,1,1,0,1,0,0,0,0,0,1,1,0,0.269039790771963,0,0.527452338995694,0,7.45996282112174e-05,0,0,0,0,0,0,0.153265399599922,3095
0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0.34692261131411,0,0,0.190747265090756,0.365812338333045,0,0,0,0,0,3686
0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0.214352838812434,0.268190676404979,0.107498435192723,0,0,0,0,0,0,0.382017050024126,3772
0,1,0,0,0,0,0,0,1,1,1,1,0,0,0.560319490312448,0,0,0,0,0,0,0.56078336168834,0.122628886265249,6.78561380320852e-05,0,3842
0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0.64999270349582,0,0,0,0.50446244361779,0.122628886265249,0,0,3856
0,1,0,0,0,1,0,0,1,1,1,1,0,0,0.560319721393496,0,0,0,0,0,0,0.560784459771773,0.12262888626525,6.49043145797507e-05,0,3874
0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0.535934623446373,0,0,0,0,0,0.663317991239174,0,0,0,3878
0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0.288420642632897,0.390159185572882,0,0,0,0.764878314899644,0.12262888626525,0,0,3896
