"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","state_idx"
1,0,1,0,0,0,0,0,0,0,0,0,0,0.269028295678878,0,0.578778106578229,0,0,0,0,0,0,0,0,0,5
1,1,1,0,0,1,0,0,0,0,0,0,0,0.352095290900259,0,0.503380196051602,0,0,0.167345307651027,0,0,0,0,0,0,39
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.227873733543474,0.380093156381291,0,0.297225572979494,0,0,0,0,0,0,46
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.693193876004243,0,0,0,0,0,0,0,48
1,0,1,0,1,1,0,0,0,0,0,0,0,0.348158651409299,0,0.495168440220465,0,0.0191098609634054,0.153649869074911,0,0,0,0,0,0,53
1,1,0,0,1,0,1,0,0,0,0,0,0,0.364280835389008,0,0,0,0.635807216015361,0,0.237947705248012,0,0,0,0,0,83
1,0,1,0,1,0,1,0,0,0,0,0,0,0.364280835389008,0,0,0,0.635807216015362,0,0.237947705248012,0,0,0,0,0,85
0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.293678802008277,0.468757436571411,0,0.343689391033626,0,0,0,0,0,92
0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.346922611314111,0,0,0.190747265090756,0.365812338333045,0,0,0,0,0,102
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.293678802008271,0.468757436571418,0,0.343689391033624,0,0,0,0,0,122
1,0,1,1,1,1,1,0,0,0,0,0,0,0.335851588538067,0,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,125
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.185161547666534,0,0,0,0,128
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.599740071035871,0,0,0,0,0,0.185161547666534,0,0,0,0,130
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.395347314264763,0.357604326804912,0,0,0.154864316308989,0,0,0,0,152
1,1,1,1,1,0,0,1,0,0,0,0,0,0.311628680798202,0,0.0440670424442093,0.356657771274432,0.284365570306523,0,0,0,0,0,0,0,159
0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.535335167139231,0,0.306606495780453,0,0.185161547666534,0,0,0,0,170
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0.193952736594449,0.369272499209994,0,0.306606495780453,0,0.185161547666534,0,0,0,0,174
1,0,1,0,1,1,1,1,0,0,0,0,0,0.364280835389008,0,0,0,0.635807216015362,0,0.237947705248012,0,0,0,0,0,245
1,0,1,0,0,0,0,0,1,0,0,0,0,0.681564758125195,0,0.353974870123195,0,0,0,0,0,0.543256421806114,0,0,0,261
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.654784114446456,0,0,0,0.513974030419344,0,0,0,272
1,1,0,0,1,0,0,0,1,0,0,0,0,0.719509517402289,3.0084898620621e-10,0,0,0.51532763390654,0,0,0,0.491558381246629,0,0,0,275
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.104477795379888,0,0,0.145526327531943,0,0,0,288
1,0,0,0,0,1,0,0,1,0,0,0,0,0.416951067690222,0,0,0,0,0,0,0,0.19479489243204,0,0,0,289
0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.296007405232136,0.388115804125127,0,0,0,0.781240012617164,0,0,0,314
