"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","state_idx"
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.272741820378685,0.429926415036968,0,0,0,0,0,0,0,0,12
1,0,0,0,0,1,0,0,0,0,0,0,0,0.352095290900259,0,0,0,0,0.167345307651027,0,0,0,0,0,0,33
1,0,0,0,0,0,0,1,0,0,0,0,0,0.269028295678878,0,0,0,0,0,0,3.12010774411973e-07,0,0,0,0,129
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.345527057690985,0,0,0,0,0,192
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.562402955639254,0,0,0,0,0,0,0.569259166138059,0,0,0,258
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.128498861236366,0.173914489324722,0,0,0,384
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.659424285871844,0,0,0,0,0,0,0,0,0,516
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.687691655247155,0,0,0,0,0.12262888626525,0,0,528
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21113465613562,0,1024
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.345527057690988,0,0,0,0,0,2112
