"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action"
0,0.017625509242928,0,0.0745138651838314,0,0,0.10953888187365,0,0,0,0,0
0,0,0.0258341567167924,3.43608184793391e-11,0,0,0.0570277538732251,0,0,0,0,0
0,0.10953888187365,0,0,0,0,0,0,0,0.0102281918366196,0,0
0.23139682065281,0,0,0.0258341567167924,0,0,0,0,0,0.0258341567167924,0,0
0,0,0,0,0,0.0745138651838314,0,0,0,0.017625509242928,0,0
0.0297225572979494,0,0,0,0,0,0,0.23139682065281,0,0.0917310025581699,0,0
0,0,0,0,0,0,0,0,0,0.10953888187365,0.017625509242928,0
3.43608184793391e-11,0,0,0,0,0,0,0,0,0.0570277538732251,0,0.0258341567167924
0,0,0,0,0,0,0,0.0745138651838314,0,0,0,0.017625509242928
0,0,0,0.23139682065281,0,0,0,0,0,0,0.0570277538732251,0.0917310025581699
