"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","state_idx"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.297225572979494,0,0,0,0,0,0,32
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.345527057690986,0,0,0,0,0,64
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.16467360144156,0,0,0,256
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.12262888626525,0,0,512
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.21113465613562,0,1024
1,1,1,1,1,1,1,1,1,1,1,0,0,0.754208561399578,0,0,0.0556355403461659,0.467051221025506,0,0.152635602453372,0,0.546776674598565,0,0,0,2047
1,1,1,1,1,1,1,1,1,1,0,1,0,0.754208561399604,0,0,0.0556355403462166,0.467051221025451,0,0.15263560245337,0,0.546776674598608,0,0,0,3071
1,1,1,1,0,1,1,1,1,1,1,1,0,0.789044319253964,0,0,0.333530348683293,0,0,0.171869611935017,0,0.684792909150441,0,0,0,4079
1,1,0,1,1,1,1,1,1,1,1,1,0,0.754208561399569,0,0,0.0556355403461479,0.467051221025526,0,0.152635602453373,0,0.546776674598549,0,0,0,4091
0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.158321332094591,0.531011468208669,0,0.339471612938821,0,0.670008350473088,0.0052248196138428,0,0,4094
