"BH.action","CA.action","BU.action","PC.action","BO.action","BV.action","BT.action","EL.action","FP.action","CH.action","DP.action","ER.action","environment.initial","BH.outcome","CA.outcome","BU.outcome","PC.outcome","BO.outcome","BV.outcome","BT.outcome","EL.outcome","FP.outcome","CH.outcome","DP.outcome","ER.outcome","state_idx"
1,1,1,1,1,1,1,1,1,1,0,0,0,0.754208561399605,0,0,0.0556355403462179,0.467051221025449,0,0.15263560245337,0,0.546776674598609,0,0,0,1023
1,1,1,1,1,1,1,1,1,0,1,0,0,0.75420856139959,0,0,0.0556355403461871,0.467051221025483,0,0.152635602453371,0,0.546776674598583,0,0,0,1535
1,1,1,1,1,1,1,1,0,1,1,0,0,0.335851588538069,0,0,0.236058144339668,0.44604303388734,0,0.261501353083417,0,0,0,0,0,1791
1,0,1,1,1,1,1,1,1,1,1,0,0,0.754208561399581,0,0,0.0556355403461711,0.4670512210255,0,0.152635602453372,0,0.546776674598569,0,0,0,2045
1,1,1,1,1,1,1,1,1,1,1,0,0,0.754208561399578,0,0,0.0556355403461659,0.467051221025506,0,0.152635602453372,0,0.546776674598565,0,0,0,2047
1,1,1,1,1,1,1,1,0,1,0,1,0,0.335851588538069,0,0,0.236058144339668,0.44604303388734,0,0.261501353083417,0,0,0,0,0,2815
1,1,1,1,1,0,1,1,1,1,0,1,0,0.754208561399607,0,0,0.0556355403462221,0.467051221025445,0,0.15263560245337,0,0.546776674598613,0,0,0,3039
0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.158321335858735,0.531011464721336,0,0.339471606338396,0,0.670008354290874,0.00522481052176954,0,0,3070
1,1,1,1,1,1,1,1,1,1,0,1,0,0.754208561399604,0,0,0.0556355403462166,0.467051221025451,0,0.15263560245337,0,0.546776674598608,0,0,0,3071
1,1,1,1,1,1,1,0,1,0,1,1,0,0.754208561399592,0,0,0.0556355403461918,0.467051221025478,0,0.152635602453371,0,0.546776674598587,0,0,0,3455
1,1,1,1,1,1,0,1,1,0,1,1,0,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,3519
1,1,1,1,1,0,1,1,1,0,1,1,0,0.754208561399586,0,0,0.0556355403461805,0.46705122102549,0,0.152635602453371,0,0.546776674598577,0,0,0,3551
1,1,1,1,0,1,1,1,1,0,1,1,0,0.789044319253964,0,0,0.333530348683293,0,0,0.171869611935017,0,0.684792909150441,0,0,0,3567
1,1,0,1,1,1,1,1,1,0,1,1,0,0.75420856139958,0,0,0.0556355403461692,0.467051221025502,0,0.152635602453372,0,0.546776674598568,0,0,0,3579
1,0,1,1,1,1,1,1,1,0,1,1,0,0.754208561399591,0,0,0.0556355403461893,0.46705122102548,0,0.152635602453371,0,0.546776674598585,0,0,0,3581
1,1,1,1,1,1,1,1,1,0,1,1,0,0.754208561399589,0,0,0.0556355403461853,0.467051221025485,0,0.152635602453371,0,0.546776674598581,0,0,0,3583
1,1,1,1,1,1,1,0,0,1,1,1,0,0.335851588538069,0,0,0.236058144339668,0.44604303388734,0,0.261501353083417,0,0,0,0,0,3711
1,1,1,1,1,1,1,1,0,1,1,1,0,0.335851588538069,0,0,0.236058144339668,0.44604303388734,0,0.261501353083417,0,0,0,0,0,3839
1,1,1,1,0,1,1,0,1,1,1,1,0,0.789044319253964,0,0,0.333530348683293,0,0,0.171869611935017,0,0.684792909150441,0,0,0,3951
0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0.158321333282515,0.531011467108103,0,0.339471610855797,0,0.670008351677941,0.00522481674448134,0,0,3966
1,1,1,1,1,0,0,1,1,1,1,1,0,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,3999
1,1,1,1,0,1,0,1,1,1,1,1,0,0.810092396239882,0,0,0.353681770766742,0,0,0,0,0.712510466336691,0,0,0,4015
1,1,1,1,1,1,0,1,1,1,1,1,0,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,4031
1,1,1,1,0,0,1,1,1,1,1,1,0,0.789044319253964,0,0,0.333530348683293,0,0,0.171869611935017,0,0.684792909150441,0,0,0,4047
1,1,0,1,1,0,1,1,1,1,1,1,0,0.754208561399567,0,0,0.0556355403461425,0.467051221025531,0,0.152635602453373,0,0.546776674598545,0,0,0,4059
1,0,1,1,1,0,1,1,1,1,1,1,0,0.754208561399579,0,0,0.0556355403461675,0.467051221025504,0,0.152635602453372,0,0.546776674598566,0,0,0,4061
1,0,1,1,0,1,1,1,1,1,1,1,0,0.789044319253964,0,0,0.333530348683293,0,0,0.171869611935017,0,0.684792909150441,0,0,0,4077
1,1,0,0,1,1,1,1,1,1,1,1,0,0.725201214065991,0,0,0,0.522942247997359,0,0.155264608775061,0,0.497551351688232,0,0,0,4083
1,1,1,0,1,1,1,1,1,1,1,1,0,0.725201214065991,0,0,0,0.522942247997358,0,0.155264608775061,0,0.497551351688232,0,0,0,4087
1,1,0,1,1,1,1,1,1,1,1,1,0,0.754208561399569,0,0,0.0556355403461479,0.467051221025526,0,0.152635602453373,0,0.546776674598549,0,0,0,4091
1,0,1,1,1,1,1,1,1,1,1,1,0,0.754208561399581,0,0,0.0556355403461711,0.4670512210255,0,0.152635602453372,0,0.546776674598569,0,0,0,4093
0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.158321332094591,0.531011468208669,0,0.339471612938821,0,0.670008350473088,0.0052248196138428,0,0,4094
