"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action"
0,0,0.493344336002245,0,0,0,0,0,0,0,0
0,0,0.032924170718042,0.493344336002245,0,0,0,0,0,0,0
0,0.443879670712061,0.0490709416925032,0,0.493344336002245,0,0,0,0,0,0
0,0.776843571709259,0,0.0490709416925032,0.032924170718042,0,0,0,0,0,0
0,0,0.776843571709259,0.443879670712061,0.0490709416925032,0,0,0,0,0,0
0,0.0604615258306351,0,0,0,0.0490709416925032,0,0,0,0,0
0,0,0.0604615258306351,0,0,0,0,0.032924170718042,0,0,0
0,0,0,0,0,0.776843571709259,0,0.0490709416925032,0,0,0
2.80476835439802,0,0,0,0,0.0496250213731694,0,0.443879670712061,0,0,0
0,0,0,0.0110457551544015,0,0.0604615258306351,0,0.776843571709259,0,0,0
0,0,0,0,0.0110457551544015,0,0.0604615258306351,0.0496250213731694,0,0,0
0,0,0,0,0,0,0,0,0.0496250213731694,0,0
0.443879670712061,0.0490709416925032,0,0,0,0,0,0,0.0604615258306351,0,0
0,0,0,0.032924170718042,0.493344336002245,0,0,0,0.379301951660769,0,0
0,0,0,0,0,0,0,0.0115249915705607,0.0110457551544015,0,0
0.0604615258306351,0,0,0,0,0,0,2.80476835439802,0.0115249915705607,0,0
0,0,0,0.776843571709259,0,0,0,0.493344336002245,2.80476835439802,0,0
0,0,0,0,0,0.443879670712061,0,0.032924170718042,0.493344336002245,0,0
0,0,0,0,0,0,0.443879670712061,0.0490709416925032,0.032924170718042,0,0
0,0.0115249915705607,0,0.379301951660769,0,0,0,0,0,0.032924170718042,0
0,2.80476835439802,0,0,0.379301951660769,0,0,0,0,0.0490709416925032,0
0,0,0,0.0115249915705607,0,0.379301951660769,0,0,0,0.443879670712061,0
0,0,0,0,0.0115249915705607,0.0110457551544015,0,0,0,0.776843571709259,0
0,0,0,0,0,0,0.0110457551544015,0,0,0.0496250213731694,0
0,0,0.0490709416925032,0,0,0,0.0115249915705607,0,0,0.0604615258306351,0
0,0,0,0,0,0,0,0,0.0110457551544015,0.379301951660769,0
0,0,0,0,0,0,0.493344336002245,0,0.0115249915705607,0.0110457551544015,0
0,0.0604615258306351,0,0.776843571709259,0,0,0,0,0,0,0.0110457551544015
0,0,0,0,0,0.443879670712061,0,0,0,0,0.0115249915705607
0,0,0,0,0,0.776843571709259,0.443879670712061,0,0,0,2.80476835439802
0,0,0.0110457551544015,0,0,0,0,0.443879670712061,0,0,0.493344336002245
0,0,0,0,0,0,0.0496250213731694,0,0,0.0490709416925032,0.032924170718042
