"Bar.action","undLac.action","uncLac.action","Oth.action","Bla.action","undMol.action","Akk.action","Cop.action","Clodif.action","Ent.action","undEnt.action"
0.109186102767326,0,0,0,0,0,0,0,0,0,0
0,0.269789483832669,0,0,0,0,0,0,0,0,0
0,0,0.527366318222543,0,0,0,0,0,0,0,0
0,0,0,0.0459258269774771,0,0,0,0,0,0,0
0,0,0,0,0.0898788343560743,0,0,0,0,0,0
0,1.11097482585029,1.11097482585029,0,1.11097482585029,0,0,0,0,0,0
0,0,0,0,0,0.00318414574996222,0,0,0,0,0
0,0,0.00642923021692336,0,0,0.00642923021692336,0,0,0,0,0
0,0,0,0,0,0,7.80798653167794,0,0,0,0
0,0.983446192311186,0.983446192311186,0.983446192311186,0,0,0.983446192311186,0,0,0,0
0,0,0,0,0,0,0,0.112588764822089,0,0,0
0,0.109186102767326,0.109186102767326,0,0,0,0,0.109186102767326,0,0,0
0,0,0.269789483832669,0,0.269789483832669,0.269789483832669,0,0.269789483832669,0,0,0
0.527366318222543,0,0,0.527366318222543,0,0.527366318222543,0.527366318222543,0.527366318222543,0,0,0
0,0,0.0459258269774771,0.0459258269774771,0,0.0459258269774771,0.0459258269774771,0.0459258269774771,0,0,0
0,0,0.0898788343560743,0,0.0898788343560743,0.0898788343560743,0.0898788343560743,0.0898788343560743,0,0,0
0,0,0,0,0,0,0,0,1.11097482585029,0,0
0,0,0.00318414574996222,0,0,0,0,0,0.00318414574996222,0,0
0,0.00642923021692336,0.00642923021692336,0,0,0,0,0,0.00642923021692336,0,0
7.80798653167794,7.80798653167794,0,7.80798653167794,0,7.80798653167794,0,0,7.80798653167794,0,0
0,0.983446192311186,0.983446192311186,0.983446192311186,0,0.983446192311186,0,0,0.983446192311186,0,0
0,0.112588764822089,0.112588764822089,0.112588764822089,0.112588764822089,0,0.112588764822089,0,0.112588764822089,0,0
0,0,0,0,0.109186102767326,0.109186102767326,0.109186102767326,0,0.109186102767326,0,0
0.269789483832669,0.269789483832669,0.269789483832669,0,0,0,0.269789483832669,0.269789483832669,0.269789483832669,0,0
0,0,0,0.527366318222543,0,0,0.527366318222543,0.527366318222543,0.527366318222543,0,0
0.0459258269774771,0.0459258269774771,0.0459258269774771,0.0459258269774771,0,0,0.0459258269774771,0.0459258269774771,0.0459258269774771,0,0
0.0898788343560743,0,0.0898788343560743,0.0898788343560743,0,0.0898788343560743,0.0898788343560743,0.0898788343560743,0.0898788343560743,0,0
0,0,0,0,0,0,0,0,0,1.11097482585029,0
0,0.00318414574996222,0,0.00318414574996222,0,0.00318414574996222,0,0,0,0.00318414574996222,0
0,0.00642923021692336,0.00642923021692336,0,0.00642923021692336,0,0.00642923021692336,0,0,0.00642923021692336,0
0,7.80798653167794,0,0,7.80798653167794,7.80798653167794,0,7.80798653167794,0,7.80798653167794,0
0,0.983446192311186,0,0.983446192311186,0.983446192311186,0.983446192311186,0,0.983446192311186,0,0.983446192311186,0
0.112588764822089,0,0,0.112588764822089,0,0.112588764822089,0.112588764822089,0.112588764822089,0,0.112588764822089,0
0.109186102767326,0.109186102767326,0,0,0.109186102767326,0.109186102767326,0.109186102767326,0.109186102767326,0,0.109186102767326,0
0,0,0,0,0,0,0,0,0.269789483832669,0.269789483832669,0
0,0,0.527366318222543,0,0,0,0,0,0.527366318222543,0.527366318222543,0
0.0459258269774771,0,0.0459258269774771,0.0459258269774771,0,0,0,0,0.0459258269774771,0.0459258269774771,0
0.0898788343560743,0.0898788343560743,0,0,0.0898788343560743,0,0,0,0.0898788343560743,0.0898788343560743,0
1.11097482585029,1.11097482585029,1.11097482585029,1.11097482585029,0,1.11097482585029,0,0,1.11097482585029,1.11097482585029,0
0,0.00318414574996222,0,0.00318414574996222,0.00318414574996222,0.00318414574996222,0,0,0.00318414574996222,0.00318414574996222,0
0.00642923021692336,0.00642923021692336,0.00642923021692336,0.00642923021692336,0.00642923021692336,0,0.00642923021692336,0,0.00642923021692336,0.00642923021692336,0
7.80798653167794,0,7.80798653167794,7.80798653167794,0,7.80798653167794,7.80798653167794,0,7.80798653167794,7.80798653167794,0
0.983446192311186,0.983446192311186,0.983446192311186,0,0,0,0,0.983446192311186,0.983446192311186,0.983446192311186,0
0.112588764822089,0,0,0.112588764822089,0,0.112588764822089,0,0.112588764822089,0.112588764822089,0.112588764822089,0
0.109186102767326,0.109186102767326,0.109186102767326,0,0.109186102767326,0.109186102767326,0,0.109186102767326,0.109186102767326,0.109186102767326,0
0.269789483832669,0,0,0,0,0.269789483832669,0.269789483832669,0.269789483832669,0.269789483832669,0.269789483832669,0
0.527366318222543,0.527366318222543,0.527366318222543,0.527366318222543,0.527366318222543,0.527366318222543,0.527366318222543,0.527366318222543,0.527366318222543,0.527366318222543,0
0,0,0,0,0,0,0,0,0,0,0.0459258269774771
0,0,0.0898788343560743,0,0.0898788343560743,0.0898788343560743,0,0,0,0,0.0898788343560743
0,0,0,0,0,0,1.11097482585029,0,0,0,1.11097482585029
0.00318414574996222,0,0,0,0,0,0.00318414574996222,0,0,0,0.00318414574996222
0,0,0,0,0,0.00642923021692336,0.00642923021692336,0,0,0,0.00642923021692336
7.80798653167794,0,0,0,7.80798653167794,0,0,7.80798653167794,0,0,7.80798653167794
0,0,0,0.983446192311186,0.983446192311186,0,0,0.983446192311186,0,0,0.983446192311186
0,0.112588764822089,0.112588764822089,0.112588764822089,0,0.112588764822089,0,0.112588764822089,0,0,0.112588764822089
0,0,0,0.109186102767326,0.109186102767326,0.109186102767326,0,0.109186102767326,0,0,0.109186102767326
0,0.269789483832669,0,0.269789483832669,0,0,0.269789483832669,0.269789483832669,0,0,0.269789483832669
0,0,0.527366318222543,0.527366318222543,0,0.527366318222543,0.527366318222543,0.527366318222543,0,0,0.527366318222543
0,0.0459258269774771,0,0,0.0459258269774771,0.0459258269774771,0.0459258269774771,0.0459258269774771,0,0,0.0459258269774771
0,0,0,0,0.0898788343560743,0.0898788343560743,0,0,0.0898788343560743,0,0.0898788343560743
0,0,1.11097482585029,1.11097482585029,0,0,1.11097482585029,0,1.11097482585029,0,1.11097482585029
0,0.00318414574996222,0,0.00318414574996222,0,0.00318414574996222,0.00318414574996222,0,0.00318414574996222,0,0.00318414574996222
0,0,0,0,0.00642923021692336,0.00642923021692336,0.00642923021692336,0,0.00642923021692336,0,0.00642923021692336
7.80798653167794,0,0,0,7.80798653167794,7.80798653167794,7.80798653167794,0,7.80798653167794,0,7.80798653167794
0,0.983446192311186,0,0,0,0.983446192311186,0,0.983446192311186,0.983446192311186,0,0.983446192311186
0,0.112588764822089,0.112588764822089,0,0.112588764822089,0.112588764822089,0,0.112588764822089,0.112588764822089,0,0.112588764822089
0,0,0.109186102767326,0,0.109186102767326,0,0.109186102767326,0.109186102767326,0.109186102767326,0,0.109186102767326
0.269789483832669,0.269789483832669,0.269789483832669,0.269789483832669,0.269789483832669,0.269789483832669,0.269789483832669,0.269789483832669,0.269789483832669,0,0.269789483832669
0,0,0,0,0,0,0,0,0,0.527366318222543,0.527366318222543
0.0459258269774771,0,0,0,0.0459258269774771,0,0,0,0,0.0459258269774771,0.0459258269774771
0,0,0.0898788343560743,0,0.0898788343560743,0.0898788343560743,0,0,0,0.0898788343560743,0.0898788343560743
1.11097482585029,0,0,1.11097482585029,0,1.11097482585029,1.11097482585029,0,0,1.11097482585029,1.11097482585029
0,0.00318414574996222,0,0,0.00318414574996222,0.00318414574996222,0.00318414574996222,0,0,0.00318414574996222,0.00318414574996222
0,0.00642923021692336,0.00642923021692336,0.00642923021692336,0.00642923021692336,0.00642923021692336,0.00642923021692336,0,0,0.00642923021692336,0.00642923021692336
