"Bar.outcome","undLac.outcome","uncLac.outcome","Oth.outcome","Bla.outcome","undMol.outcome","Akk.outcome","Cop.outcome","Clodif.outcome","Ent.outcome","undEnt.outcome"
1.79406317020861,0,0,0,0,0,0,0,0,0,0
0,2.95766993993707,0,0,0,0,0,0,0,0,0
0,0,3.50423145050186,0,0,0,0,0,0,0,0
0,0,0,0.649696240601505,0,0,0,0,0,0,0
0,0,0,0,1.00056450930029,0,0,0,0,0,0
0,0,0,0,0,1.11351914068045,0,0,0,0,0
0,0,0,0,0,0,0.189458924447378,0,0,0,0
0,0,0,0,0,0,0,0.190781005792038,0,0,0
0,0,0,0,0,0,0,0,7.02609163453778,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,0,0,0,0,0,0,0,1.51329828761776,0
0,2.72940607637993,0,0,0,0,0,0,0,1.82698181217168,0
0,0,0,0,0,2.67517943655101,0,0,19.0978977786288,2.0908146028882,0
0,0,0,0,0,0,0,0,0,0,0.842671179380371
0,0,3.50414098763227,0,0.182760175104084,0,0,0,0,0,0
0,0,0,0,0,1.11736879153914,0.00489948101836814,0,0,0,0.0716766108742882
0,0,0,0.587675649665584,0,0,0,0.0352206176399121,0,0,0.211160968048311
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0
0,0,3.21187032618372,0,0,1.26689445223122,0,0,0,1.01119950632896,0
0.893523213152896,0,0,0,0,1.21294731179468,0,0,0,1.16927780038777,0
0,0,0,0,0,0,0,0,16.006331537965,2.57192209591749,0.682528340639521
0,0,0,0,0,2.67517943655101,0,0,19.0978977786288,2.0908146028882,0
0,0,0,0,0,2.67517943655101,0,0,19.0978977786288,2.0908146028882,0
0,0,0,0,0,0,0,0,16.006331537965,2.57192209591749,0.682528340639523
0,0,0,0,0,0,0,0,16.006331537965,2.57192209591749,0.682528340639521
0,0,0,0,0,2.67517943655101,0,0,19.0978977786288,2.0908146028882,0
0,0,0,0,0,2.67517943655101,0,0,19.0978977786288,2.0908146028882,0
0,0,0,0,0,2.67517943655101,0,0,19.0978977786288,2.0908146028882,0
0,0,0,0,0,2.67517943655101,0,0,19.0978977786288,2.0908146028882,0
0,0,0,0,0,2.67517943655101,0,0,19.0978977786288,2.0908146028882,0
