"Ea.outcome","Pa.outcome","Pch.outcome","Pci.outcome","Pf.outcome","Pp.outcome","Pv.outcome","Sm.outcome"
0,0.0711,0,0,0,0,0,0
0,0.07266,0,0,0,0,0,0
0,0,0.08225,0,0,0,0,0
0,0,0.07488,0,0,0,0,0
0,0,0,0.00335,0,0,0,0
0,0,0,0.00319999999999999,0,0,0,0
0,0,0,0,0,0,0.10438,0
0,0,0,0,0,0,0.10036,0
0,0,0.0562720987654,0,0.0314461728395,0.0198607407407,0.0264809876543,0
0,0,0.0804111235955,0,0,0,0.0546188764045,0
0,0,0.104966794872,0,0.00214217948718,0,0.059981025641,0
0,0,0.104966794872,0,0.00214217948718,0,0.059981025641,0
0.00433310344828,0,0,0,0.0671631034483,0.0519972413793,0.00216655172414,0
0.00938269230769,0,0,0,0.0201057692308,0.0750615384615,0,0
0,0,0.0827406493506,0,0,0,0.0894493506494,0
0,0,0.101471282051,0,0,0,0.0705887179487,0
0,0,0.0859171764706,0,0.00204564705882,0,0.0859171764706,0
0,0,0.0994671232877,0,0,0,0.0776328767123,0
0,0,0.106135714286,0,0,0.0405245454545,0,0.00192974025974
0,0,0.106135714286,0,0,0.0405245454545,0,0.00192974025974
