"rep","method","frac","richness.r2","feasible.and.stable.balanced_accuracy","composition.balanced_accuracy","abundance.r2"
1,"naive",0.001,0.513623536429639,0.5,0.861736334405145,2.65276105934218e-05
2,"naive",0.001,0.513474731680765,0.5,0.861823911505563,2.65207911160863e-05
3,"naive",0.001,0.5142430318168,0.5,0.861750707486493,2.65232719993292e-05
4,"naive",0.001,0.513711221241026,0.5,0.861713073114269,2.65222368142889e-05
5,"naive",0.001,0.513514074183738,0.516681685064204,0.861563203602445,2.6501393795529e-05
1,"e2e + reshuffle",0.001,0.500419074363838,0.5,0.487416248765588,3.06168767275386e-05
2,"e2e + reshuffle",0.001,0.500012058418188,0.5,0.515178328962027,0.000139635349540614
3,"e2e + reshuffle",0.001,0.500491831140664,0.5,0.50515769567167,5.61182386620042e-06
4,"e2e + reshuffle",0.001,0.499658462741037,0.5,0.586600513302892,1.74080247273164e-05
5,"e2e + reshuffle",0.001,0.500664072566094,0.234836702954899,0.510625128716583,1.86402023303768e-05
1,"e2e",0.001,0.5000380034088,0.6492063066445,0.626438337311128,0.000103940436949849
2,"e2e",0.001,0.500189869385091,0.5,0.521790814527977,1.77331557368586e-05
3,"e2e",0.001,0.49844976443065,0.5,0.564862929855537,0.000145623948323596
4,"e2e",0.001,0.501261884503246,0.5,0.578441357032082,7.32678069838108e-05
5,"e2e",0.001,0.500761796760949,0.5,0.532398393122657,1.92850824030466e-05
1,"naive",0.01,0.512347130911601,0.488598224435663,0.861430147297385,2.65702551701002e-05
2,"naive",0.01,0.514402405481029,0.506312534109514,0.861700746510873,2.6645284709319e-05
3,"naive",0.01,0.513431001409132,0.5,0.861902290274444,2.66413891481792e-05
4,"naive",0.01,0.514069688362651,0.497616881935601,0.861860887620036,2.67959793184544e-05
5,"naive",0.01,0.515805127657549,0.501666847110197,0.861860887620036,2.66390810589225e-05
1,"e2e + reshuffle",0.01,0.0900679601997263,0.378813932374061,0.510766839546217,3.13976558168232e-06
2,"e2e + reshuffle",0.01,2.332336109656e-05,0.5,0.52251340348201,9.80476186479244e-07
3,"e2e + reshuffle",0.01,0.0416352538897395,0.468203594435121,0.524682768013531,1.85904017542152e-05
4,"e2e + reshuffle",0.01,0.0356894158381255,0.480900052328624,0.525430145018582,0.000507341953003806
5,"e2e + reshuffle",0.01,0.00829208113696276,0.471081668741767,0.544368146305409,0.000866736221106713
1,"e2e",0.01,0.370666284206884,0.701669092232127,0.695557934112295,0.000156960730719869
2,"e2e",0.01,0.271134508860613,0.5,0.697080144620144,0.000112076998660884
3,"e2e",0.01,0.329789346045007,0.678524649808987,0.722652118997462,0.000218337086271884
4,"e2e",0.01,0.279593015359152,0.59557191576896,0.671104468384382,9.84048683607284e-05
5,"e2e",0.01,0.247692603637613,0.604330193615908,0.732400028385204,4.47696383084667e-05
1,"naive",0.1,0.51103738584466,0.500359892869099,0.862384341637011,2.83748044197562e-05
2,"naive",0.1,0.510174035048016,0.497499733162557,0.86157083749465,1.86208228771168e-05
3,"naive",0.1,0.505716077908115,0.482635866532753,0.861451796919567,2.59699558185206e-05
4,"naive",0.1,0.512456123236962,0.512999292254611,0.861523103251569,2.69077782095983e-05
5,"naive",0.1,0.515676810090461,0.502024864921576,0.861922445190316,2.58871967588192e-05
1,"e2e + reshuffle",0.1,0.000420618775328656,0.473885303690689,0.553627871710757,2.30166014441386e-05
2,"e2e + reshuffle",0.1,0.00619979125225518,0.482199302636296,0.544738663779197,7.173528096084e-05
3,"e2e + reshuffle",0.1,0.00727951244896247,0.485164600015767,0.556293991300007,1.34270733787499e-06
4,"e2e + reshuffle",0.1,0.024376798721002,0.521257243331711,0.546702692285478,3.76922751378721e-06
5,"e2e + reshuffle",0.1,0.0856588838190618,0.486807228915663,0.516059010972039,0.000102989103571203
1,"e2e",0.1,0.51023670199342,0.660680375596706,0.829019048719936,5.9899648710737e-05
2,"e2e",0.1,0.501403417109514,0.673540457316439,0.833030673478053,9.53994035540613e-05
3,"e2e",0.1,0.460638299631799,0.826238701037831,0.83769438775742,1.5337657510899e-05
4,"e2e",0.1,0.529155557126207,0.637546677579416,0.845701948006747,9.94813305583485e-06
5,"e2e",0.1,0.550474521932953,0.669988983895504,0.841778651024481,1.48557687136442e-05
1,"naive",0.5,0.506888316713115,0.506437165188373,0.860453141091658,7.03460386848535e-06
2,"naive",0.5,0.50903768601589,0.509015855145886,0.862676962676963,1.38678898131964e-05
3,"naive",0.5,0.510005769021495,0.502909259655886,0.860794362588085,1.67414789507488e-05
4,"naive",0.5,0.497280408167102,0.478396742089331,0.857528957528958,1.38382894792931e-05
5,"naive",0.5,0.511964818723401,0.512627388798044,0.863001409714212,0.000172867974644293
1,"e2e + reshuffle",0.5,0.00687984420809979,0.460069702525478,0.546336285735084,0.000186498911271385
2,"e2e + reshuffle",0.5,0.00034432442983647,0.477125256673511,0.527159121292697,3.87326520566415e-06
3,"e2e + reshuffle",0.5,0.0106017505107455,0.507436067952361,0.520687792608368,5.1335339233196e-10
4,"e2e + reshuffle",0.5,0.00209602417148702,0.519951590594744,0.542495352509407,5.64359701014379e-06
5,"e2e + reshuffle",0.5,0.0178880700677541,0.48850863422292,0.536817227586162,3.13484343670776e-05
1,"e2e",0.5,0.598034781216566,0.967228882886734,0.904176757178054,0.00378517230581946
2,"e2e",0.5,0.629120222724704,0.945437189767087,0.906776060633303,0.000607115471761996
3,"e2e",0.5,0.612830251235712,0.913386090805446,0.90031535802723,0.0251558920776654
4,"e2e",0.5,0.624796539992622,0.975188533101816,0.90322265036607,0.00176833935686527
5,"e2e",0.5,0.632679904324161,0.952634593356243,0.902918253248498,0.00410447208391213
1,"naive",0.9,0.581714600484287,0.63028594442207,0.871586475942783,2.47210224387284e-05
2,"naive",0.9,0.481955046364073,0.514366462552991,0.859213917525773,5.07846855816426e-05
3,"naive",0.9,0.506058408612852,0.51954780970325,0.865979381443299,0.000541656535684645
4,"naive",0.9,0.495297350732225,0.512283527990334,0.864918032786885,5.88635248349588e-06
