"rep","method","frac","richness.r2","feasible.and.stable.balanced_accuracy","composition.balanced_accuracy","abundance.r2","num_species","num_replicates_in_data","num_cases"
1,"naive",1e-06,0.432661394633799,0.740547588005215,0.874079289428076,0.195362115882384,9,3,1536
2,"naive",1e-06,0.432661394633799,0.745110821382008,0.874079289428076,0.195355170808232,9,3,1536
3,"naive",1e-06,0.432311806146373,0.748696219035202,0.874147081122062,0.195505265157739,9,3,1536
4,"naive",1e-06,0.432198560807374,0.248044328552803,0.874201234701614,0.195573307929458,9,3,1536
5,"naive",1e-06,0.432920781596641,0.740221642764016,0.874025129982669,0.195218224303071,9,3,1536
1,"e2e + reshuffle",1e-06,0.500057195245666,0.5,0.615314771435087,0.0938856721582742,9,3,1536
2,"e2e + reshuffle",1e-06,0.500057195245666,0.5,0.583316146799017,0.0671652677318947,9,3,1536
3,"e2e + reshuffle",1e-06,0.500057195245666,0.5,0.591315802958035,6.53653262780384e-05,9,3,1536
4,"e2e + reshuffle",1e-06,0.498783286385316,0.5,0.569400030552502,0.0597600653076322,9,3,1536
5,"e2e + reshuffle",1e-06,0.500057195245666,0.5,0.559317178321965,0.00469669227364262,9,3,1536
1,"e2e",1e-06,0.49757673405018,0.5,0.633487391718251,0.0829287730863203,9,3,1536
2,"e2e",1e-06,0.500057195245666,0.5,0.58249985535422,0.0899545512205737,9,3,1536
3,"e2e",1e-06,0.497563906234648,0.5,0.536162837270245,0.00105045335559373,9,3,1536
4,"e2e",1e-06,0.49757673405018,0.5,0.526541458831721,0.0630239606636641,9,3,1536
5,"e2e",1e-06,0.497578097677045,0.5,0.579062745835368,0.0643765489848199,9,3,1536
1,"naive",2.06913808111479e-06,0.432652721979161,0.742829204693611,0.874133448873484,0.195452149977776,9,3,1536
2,"naive",2.06913808111479e-06,0.432311806146373,0.252281616688396,0.874147081122062,0.19552525806644,9,3,1536
3,"naive",2.06913808111479e-06,0.433263439834312,0.250651890482399,0.874173978983859,0.195528252593073,9,3,1536
4,"naive",2.06913808111479e-06,0.432675652547816,0.250325945241199,0.874092927542511,0.19537490389684,9,3,1536
5,"naive",2.06913808111479e-06,0.433263439834312,0.746088657105606,0.874173978983859,0.19543267864957,9,3,1536
1,"e2e + reshuffle",2.06913808111479e-06,0.497578097677045,0.5,0.584123196876448,0.169287800207964,9,3,1536
2,"e2e + reshuffle",2.06913808111479e-06,0.49757673405018,0.5,0.624670475113866,0.165368600335715,9,3,1536
3,"e2e + reshuffle",2.06913808111479e-06,0.497563906234648,0.5,0.536162837270245,0.00104681372409501,9,3,1536
4,"e2e + reshuffle",2.06913808111479e-06,0.49757673405018,0.5,0.625486856280938,0.168397598121957,9,3,1536
5,"e2e + reshuffle",2.06913808111479e-06,0.500057195245666,0.5,0.387732716625491,0.0235023332824992,9,3,1536
1,"e2e",2.06913808111479e-06,0.49757673405018,0.5,0.638548954954102,0.185691077531286,9,3,1536
2,"e2e",2.06913808111479e-06,0.49757673405018,0.5,0.534541994269034,0.000531332500467419,9,3,1536
3,"e2e",2.06913808111479e-06,0.497578097677045,0.5,0.578246544054549,0.0719528120345582,9,3,1536
4,"e2e",2.06913808111479e-06,0.500057195245666,0.5,0.591315802958035,0.000730976880003751,9,3,1536
5,"e2e",2.06913808111479e-06,0.497578097677045,0.5,0.54119098320535,0.00109072163411461,9,3,1536
1,"naive",4.2813323987194e-06,0.433290296760522,0.751303780964798,0.874038773962959,0.195433425957821,9,3,1536
2,"naive",4.2813323987194e-06,0.432652721979161,0.249348109517601,0.874133448873484,0.195490292471866,9,3,1536
3,"naive",4.2813323987194e-06,0.432894748556402,0.249348109517601,0.874187608318891,0.19547907570524,9,3,1536
4,"naive",4.2813323987194e-06,0.431642217661886,0.752607561929596,0.87416071041802,0.195536963940064,9,3,1536
5,"naive",4.2813323987194e-06,0.432652721979161,0.75,0.874133448873484,0.195420742737205,9,3,1536
1,"e2e + reshuffle",4.2813323987194e-06,0.500057195245666,0.5,0.490095663803121,0.000651935925694801,9,3,1536
2,"e2e + reshuffle",4.2813323987194e-06,0.498783286385316,0.5,0.642882415843387,0.181790423248912,9,3,1536
3,"e2e + reshuffle",4.2813323987194e-06,0.497578097677045,0.5,0.555066413479279,0.0012889393882846,9,3,1536
4,"e2e + reshuffle",4.2813323987194e-06,0.497578097677045,0.5,0.573186093013469,3.44090521118182e-06,9,3,1536
5,"e2e + reshuffle",4.2813323987194e-06,0.500057195245666,0.5,0.558500886877168,0.000162831291371467,9,3,1536
1,"e2e",4.2813323987194e-06,0.500057195245666,0.5,0.527318553685896,0.179171753505244,9,3,1536
2,"e2e",4.2813323987194e-06,0.500057195245666,0.5,0.583316146799017,0.0458458201485971,9,3,1536
3,"e2e",4.2813323987194e-06,0.49757673405018,0.5,0.555767904612925,0.0935828357095565,9,3,1536
4,"e2e",4.2813323987194e-06,0.500057195245666,0.5,0.519482155815838,0.0884041542045416,9,3,1536
5,"e2e",4.2813323987194e-06,0.49757673405018,0.5,0.600668868801927,0.0681241483664347,9,3,1536
1,"naive",8.85866790410083e-06,0.432661394633799,0.745436766623207,0.874079289428076,0.195403280451647,9,3,1536
2,"naive",8.85866790410083e-06,0.432652721979161,0.251955671447197,0.874133448873484,0.195427712434615,9,3,1536
3,"naive",8.85866790410083e-06,0.432223825124769,0.23728813559322,0.874011483046257,0.195279203373429,9,3,1536
4,"naive",8.85866790410083e-06,0.432652721979161,0.763363754889179,0.874133448873484,0.195481569073608,9,3,1536
5,"naive",8.85866790410083e-06,0.431196903204024,0.756844850065189,0.873997833152763,0.195278343305118,9,3,1536
1,"e2e + reshuffle",8.85866790410083e-06,0.498783286385316,0.5,0.637820295967793,0.0714922732649638,9,3,1536
2,"e2e + reshuffle",8.85866790410083e-06,0.497563906234648,0.5,0.44035126791282,0.0230881668708599,9,3,1536
3,"e2e + reshuffle",8.85866790410083e-06,0.49757673405018,0.5,0.619608911878014,0.0690989212843863,9,3,1536
4,"e2e + reshuffle",8.85866790410083e-06,0.49757673405018,0.5,0.619608911878014,0.0665908469598603,9,3,1536
5,"e2e + reshuffle",8.85866790410083e-06,0.500057195245666,0.5,0.615314771435087,0.0920941495091242,9,3,1536
1,"e2e",8.85866790410083e-06,0.497578097677045,0.5,0.560126864520359,0.087490603834586,9,3,1536
2,"e2e",8.85866790410083e-06,0.500057195245666,0.5,0.62119206983763,0.179151802299929,9,3,1536
3,"e2e",8.85866790410083e-06,0.497578097677045,0.5,0.485199541041142,0.0666088165175112,9,3,1536
4,"e2e",8.85866790410083e-06,0.500057195245666,0.5,0.559317178321965,0.00543602861198702,9,3,1536
5,"e2e",8.85866790410083e-06,0.497578097677045,0.5,0.55425021169846,0.000159023037007945,9,3,1536
1,"naive",1.83298071083244e-05,0.432920781596641,0.249348109517601,0.874025129982669,0.195299346678412,9,3,1536
2,"naive",1.83298071083244e-05,0.432652721979161,0.243155149934811,0.874133448873484,0.195477328192613,9,3,1536
3,"naive",1.83298071083244e-05,0.432319696333551,0.252281616688396,0.874065648358791,0.195453005774556,9,3,1536
4,"naive",1.83298071083244e-05,0.432652721979161,0.250977835723598,0.874133448873484,0.195482031173359,9,3,1536
5,"naive",1.83298071083244e-05,0.432920781596641,0.252281616688396,0.874025129982669,0.195428134375138,9,3,1536
1,"e2e + reshuffle",1.83298071083244e-05,0.500057195245666,0.5,0.583316146799017,0.0877297667452966,9,3,1536
2,"e2e + reshuffle",1.83298071083244e-05,0.497578097677045,0.5,0.485199541041142,0.0642988254463917,9,3,1536
3,"e2e + reshuffle",1.83298071083244e-05,0.500057195245666,0.5,0.59637680991578,0.0906187539142409,9,3,1536
4,"e2e + reshuffle",1.83298071083244e-05,0.497563906234648,0.5,0.44035126791282,0.0231200545151791,9,3,1536
5,"e2e + reshuffle",1.83298071083244e-05,0.49757673405018,0.5,0.633487391718251,0.0625938429451218,9,3,1536
1,"e2e",1.83298071083244e-05,0.500057195245666,0.5,0.602254108318324,0.179238923517084,9,3,1536
2,"e2e",1.83298071083244e-05,0.49757673405018,0.5,0.619608911878014,0.0681973743364459,9,3,1536
3,"e2e",1.83298071083244e-05,0.49757673405018,0.5,0.601485249968999,0.0857514511798032,9,3,1536
4,"e2e",1.83298071083244e-05,0.497578097677045,0.5,0.584123196876448,0.169287800207964,9,3,1536
5,"e2e",1.83298071083244e-05,0.500057195245666,0.5,0.59637680991578,0.0773476111000394,9,3,1536
1,"naive",3.79269019073225e-05,0.432661394633799,0.254563233376793,0.874079289428076,0.19540050270543,9,3,1536
2,"naive",3.79269019073225e-05,0.432666179048879,0.753585397653194,0.874119813671325,0.195442376370118,9,3,1536
3,"naive",3.79269019073225e-05,0.432352262814729,0.266623207301173,0.874106175514626,0.195426277691156,9,3,1536
4,"naive",3.79269019073225e-05,0.432666179048879,0.748044328552803,0.874119813671325,0.195409072461891,9,3,1536
5,"naive",3.79269019073225e-05,0.433290296760522,0.247718383311604,0.874038773962959,0.195373951250643,9,3,1536
1,"e2e + reshuffle",3.79269019073225e-05,0.49757673405018,0.5,0.619608911878014,0.0939867194499198,9,3,1536
2,"e2e + reshuffle",3.79269019073225e-05,0.500057195245666,0.5,0.620375778392832,0.144570416016099,9,3,1536
3,"e2e + reshuffle",3.79269019073225e-05,0.497578097677045,0.5,0.578246544054549,0.0906894590366998,9,3,1536
4,"e2e + reshuffle",3.79269019073225e-05,0.500057195245666,0.5,0.597193101360578,0.0539923006103621,9,3,1536
