"rep","method","frac","richness.r2","feasible.and.stable.balanced_accuracy","composition.balanced_accuracy","abundance.r2"
1,"naive",0.001,0.431924781502776,0.5,0.87420054200542,0.195559293784707
2,"naive",0.001,0.432984534043203,0.5,0.873997398655972,0.195272014923679
3,"naive",0.001,0.432369832184347,0.5,0.874051593323217,0.195373511408238
4,"naive",0.001,0.432346814295038,0.5,0.874092140921409,0.195606841219506
5,"naive",0.001,0.429863586150663,0.5,0.874010625609888,0.195328426144349
1,"e2e + reshuffle",0.001,0.500148127119559,0.5,0.582553766316381,0.194532211188378
2,"e2e + reshuffle",0.001,0.500392907876283,0.5,0.596341474180868,0.138642163819022
3,"e2e + reshuffle",0.001,0.500252528065793,0.5,0.398684422950174,0.00452955712290956
4,"e2e + reshuffle",0.001,0.500450716355093,0.5,0.619586328330729,0.0669741414630476
5,"e2e + reshuffle",0.001,0.499712121764258,0.5,0.504209798247222,0.000369828037336568
1,"e2e",0.001,0.500794396626594,0.5,0.624652314605292,0.179810337510225
2,"e2e",0.001,0.500041604603426,0.5,0.61532299370145,0.0256891395667632
3,"e2e",0.001,0.499524308352385,0.5,0.639510877912186,0.0545248264147054
4,"e2e",0.001,0.499725269989009,0.5,0.437993916944424,0.0955762437237128
5,"e2e",0.001,0.500079740949783,0.5,0.500599070783488,0.133004707394719
1,"naive",0.01,0.436406154407261,0.5,0.874123959702146,0.195460229372531
2,"naive",0.01,0.433083883001858,0.5,0.873810305218247,0.194946969956893
3,"naive",0.01,0.432515045179237,0.5,0.87424789410349,0.195551428840149
4,"naive",0.01,0.432162118129324,0.5,0.873810305218247,0.195249743736969
5,"naive",0.01,0.432454435929532,0.5,0.874289462177525,0.196004467302412
1,"e2e + reshuffle",0.01,0.00298191309715083,0.5,0.610144485135906,0.145087263398532
2,"e2e + reshuffle",0.01,0.00339140772523068,0.5,0.545445435044839,0.172131161644382
3,"e2e + reshuffle",0.01,0.0233470702582021,0.5,0.612216350828285,0.134725002215751
4,"e2e + reshuffle",0.01,0.0722743150871456,0.5,0.598885618879653,0.206900722860123
5,"e2e + reshuffle",0.01,0.00896287851386996,0.5,0.554825948245782,0.142967107155226
1,"e2e",0.01,0.371850850228931,0.5,0.820364270735882,0.343133409552959
2,"e2e",0.01,0.226953477286378,0.5,0.855775774282046,0.408424390690263
3,"e2e",0.01,0.251730986634555,0.5,0.85864429686365,0.348424366299002
4,"e2e",0.01,0.430133807129782,0.5,0.799181519648031,0.419645761980799
5,"e2e",0.01,0.381793182559591,0.5,0.818416795122832,0.248202048547618
1,"naive",0.1,0.434625289470034,NA,0.876128023101913,0.196828268311548
2,"naive",0.1,0.438418988637674,0.5,0.875165443388281,0.196531364368741
3,"naive",0.1,0.44928650572617,0.5,0.875030069761847,0.195646516363242
4,"naive",0.1,0.439886659947876,0.5,0.873673420164014,0.193774303389407
5,"naive",0.1,0.429615878377119,NA,0.874460172744722,0.196490427280978
1,"e2e + reshuffle",0.1,0.0139822525603803,0.5,0.574509744975156,0.169721811804046
2,"e2e + reshuffle",0.1,0.106158958944848,0.5,0.580725333432959,0.200068516691446
3,"e2e + reshuffle",0.1,4.22275169019942e-06,0.5,0.561168995045566,0.237214337332752
4,"e2e + reshuffle",0.1,0.00941796282254247,0.5,0.541150716265695,0.19226593288812
5,"e2e + reshuffle",0.1,0.0036231756536671,0.5,0.552751869978761,0.189024224570765
1,"e2e",0.1,0.475508663043285,0.5,0.921126600185685,0.794942417702254
2,"e2e",0.1,0.463096905504748,0.5,0.907601247317343,0.756731729315026
3,"e2e",0.1,0.405816774398974,0.5,0.904872850095644,0.779722503463842
4,"e2e",0.1,0.404606025057556,0.5,0.919878471295748,0.784539901773173
5,"e2e",0.1,0.48469657609729,0.5,0.90898160031193,0.769128550867666
1,"naive",0.5,0.434031016246605,NA,0.875379280450802,0.197256596084005
2,"naive",0.5,0.435223473068793,0.5,0.870378378378378,0.190773162938844
3,"naive",0.5,0.44071935636913,NA,0.871561620099632,0.191811901684065
4,"naive",0.5,0.430630022375646,0.5,0.874086807047701,0.195503901562817
5,"naive",0.5,0.431716482477212,NA,0.871711241574255,0.194856002397925
1,"e2e + reshuffle",0.5,0.000514744233039458,NA,0.560734103607932,0.223691009570719
2,"e2e + reshuffle",0.5,0.012823729450202,NA,0.576477759528607,0.158124847773682
3,"e2e + reshuffle",0.5,0.000968421838174575,0.5,0.580945646144269,0.188611951500028
4,"e2e + reshuffle",0.5,0.0032467506171572,NA,0.56358631733035,0.268901034411797
5,"e2e + reshuffle",0.5,0.0327542376172505,0.5,0.576384863136117,0.170212561757601
1,"e2e",0.5,0.535205030526008,0.5,0.923005750729974,0.884299801193263
2,"e2e",0.5,0.525927306032045,0.5,0.924456413306536,0.877087514272612
3,"e2e",0.5,0.558069153640011,NA,0.929600349335195,0.887290110893013
4,"e2e",0.5,0.555305386462309,0.5,0.927482576654908,0.875429789120368
5,"e2e",0.5,0.520800053105136,NA,0.927575107903836,0.876263020615517
1,"naive",0.9,0.506118395724508,NA,0.873791621911923,0.187367629404708
2,"naive",0.9,0.379853557497108,NA,0.854893138357705,0.180358895622484
